width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
2,-3,63,1,fault,010706050d030201,0107060509080808,4,4;5;6;7
2,-3,64,1,normal,010706050d030201,010706050d030201,0,
2,-2,63,1,normal,010706050d030201,010706050d030201,0,
2,-2,64,1,normal,010706050d030201,010706050d030201,0,
2,-1,63,1,normal,010706050d030201,010706050d030201,0,
2,-1,64,1,normal,010706050d030201,010706050d030201,0,
2,0,63,1,normal,010706050d030201,010706050d030201,0,
2,0,64,1,normal,010706050d030201,010706050d030201,0,
2,1,63,1,normal,010706050d030201,010706050d030201,0,
2,1,64,1,normal,010706050d030201,010706050d030201,0,
2,2,63,1,normal,010706050d030201,010706050d030201,0,
2,2,64,1,normal,010706050d030201,010706050d030201,0,
3,-3,63,1,normal,010706050d030201,010706050d030201,0,
3,-3,64,1,normal,010706050d030201,010706050d030201,0,
3,-2,63,1,normal,010706050d030201,010706050d030201,0,
3,-2,64,1,normal,010706050d030201,010706050d030201,0,
3,-1,63,1,normal,010706050d030201,010706050d030201,0,
3,-1,64,1,normal,010706050d030201,010706050d030201,0,
3,0,63,1,normal,010706050d030201,010706050d030201,0,
3,0,64,1,normal,010706050d030201,010706050d030201,0,
3,1,63,1,normal,010706050d030201,010706050d030201,0,
3,1,64,1,normal,010706050d030201,010706050d030201,0,
3,2,63,1,fault,010706050d030201,010706050d000000,3,5;6;7
3,2,64,1,normal,010706050d030201,010706050d030201,0,
