width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
-40,-45,30,1,normal,010706050d030201,010706050d030201,0,
-40,-45,31,1,normal,010706050d030201,010706050d030201,0,
-40,-45,32,1,normal,010706050d030201,010706050d030201,0,
-40,-45,33,1,normal,010706050d030201,010706050d030201,0,
-40,-45,34,1,normal,010706050d030201,010706050d030201,0,
-40,-45,35,1,normal,010706050d030201,010706050d030201,0,
-40,-45,36,1,normal,010706050d030201,010706050d030201,0,
-40,-45,37,1,normal,010706050d030201,010706050d030201,0,
-40,-45,38,1,normal,010706050d030201,010706050d030201,0,
-40,-45,39,1,normal,010706050d030201,010706050d030201,0,
-40,-45,40,1,normal,010706050d030201,010706050d030201,0,
-40,-45,41,1,normal,010706050d030201,010706050d030201,0,
-40,-45,42,1,normal,010706050d030201,010706050d030201,0,
-40,-45,43,1,normal,010706050d030201,010706050d030201,0,
-40,-45,44,1,normal,010706050d030201,010706050d030201,0,
-40,-45,58,1,normal,010706050d030201,010706050d030201,0,
-40,-45,59,1,normal,010706050d030201,010706050d030201,0,
-40,-45,60,1,normal,010706050d030201,010706050d030201,0,
-40,-45,61,1,normal,010706050d030201,010706050d030201,0,
-40,-45,62,1,normal,010706050d030201,010706050d030201,0,
-40,-45,63,1,normal,010706050d030201,010706050d030201,0,
-40,-45,64,1,normal,010706050d030201,010706050d030201,0,
-40,-45,65,1,normal,010706050d030201,010706050d030201,0,
-40,-45,66,1,normal,010706050d030201,010706050d030201,0,
-40,-45,67,1,normal,010706050d030201,010706050d030201,0,
-40,-45,68,1,normal,010706050d030201,010706050d030201,0,
-40,-45,69,1,normal,010706050d030201,010706050d030201,0,
-40,-45,70,1,normal,010706050d030201,010706050d030201,0,
-40,-45,71,1,normal,010706050d030201,010706050d030201,0,
-40,-45,72,1,normal,010706050d030201,010706050d030201,0,
-40,-45,73,1,normal,010706050d030201,010706050d030201,0,
-40,-45,74,1,normal,010706050d030201,010706050d030201,0,
-40,-45,78,1,normal,010706050d030201,010706050d030201,0,
-40,-45,79,1,normal,010706050d030201,010706050d030201,0,
-40,-45,80,1,normal,010706050d030201,010706050d030201,0,
-40,-45,81,1,normal,010706050d030201,010706050d030201,0,
-40,-45,82,1,normal,010706050d030201,010706050d030201,0,
-40,-45,83,1,normal,010706050d030201,010706050d030201,0,
-40,-45,84,1,normal,010706050d030201,010706050d030201,0,
-40,-45,85,1,normal,010706050d030201,010706050d030201,0,
-40,-45,86,1,normal,010706050d030201,010706050d030201,0,
-40,-45,87,1,normal,010706050d030201,010706050d030201,0,
-40,-45,88,1,normal,010706050d030201,010706050d030201,0,
-40,-45,89,1,normal,010706050d030201,010706050d030201,0,
-40,-45,94,1,normal,010706050d030201,010706050d030201,0,
-40,-45,95,1,normal,010706050d030201,010706050d030201,0,
-40,-45,96,1,normal,010706050d030201,010706050d030201,0,
-40,-45,97,1,normal,010706050d030201,010706050d030201,0,
-40,-45,98,1,normal,010706050d030201,010706050d030201,0,
-40,-45,99,1,normal,010706050d030201,010706050d030201,0,
-40,-45,100,1,normal,010706050d030201,010706050d030201,0,
-40,-45,101,1,normal,010706050d030201,010706050d030201,0,
-40,-45,102,1,normal,010706050d030201,010706050d030201,0,
-40,-45,103,1,normal,010706050d030201,010706050d030201,0,
-40,-45,104,1,normal,010706050d030201,010706050d030201,0,
-40,-44,30,1,normal,010706050d030201,010706050d030201,0,
-40,-44,31,1,normal,010706050d030201,010706050d030201,0,
-40,-44,32,1,normal,010706050d030201,010706050d030201,0,
-40,-44,33,1,normal,010706050d030201,010706050d030201,0,
-40,-44,34,1,normal,010706050d030201,010706050d030201,0,
-40,-44,35,1,normal,010706050d030201,010706050d030201,0,
-40,-44,36,1,normal,010706050d030201,010706050d030201,0,
-40,-44,37,1,normal,010706050d030201,010706050d030201,0,
-40,-44,38,1,normal,010706050d030201,010706050d030201,0,
-40,-44,39,1,normal,010706050d030201,010706050d030201,0,
