width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
-48,-48,63,1,normal,010716050d031201,010716050d031201,0,
-48,-48,64,1,normal,010716050d031201,010716050d031201,0,
-48,-47,63,1,normal,010716050d031201,010716050d031201,0,
-48,-47,64,1,normal,010716050d031201,010716050d031201,0,
-48,-46,63,1,normal,010716050d031201,010716050d031201,0,
-48,-46,64,1,normal,010716050d031201,010716050d031201,0,
-48,-45,63,1,normal,010716050d031201,010716050d031201,0,
-48,-45,64,1,normal,010716050d031201,010716050d031201,0,
-48,-44,63,1,normal,010716050d031201,010716050d031201,0,
-48,-44,64,1,normal,010716050d031201,010716050d031201,0,
-48,-43,63,1,normal,010716050d031201,010716050d031201,0,
-48,-43,64,1,normal,010716050d031201,010716050d031201,0,
-48,-42,63,1,normal,010716050d031201,010716050d031201,0,
-48,-42,64,1,normal,010716050d031201,010716050d031201,0,
-48,-41,63,1,normal,010716050d031201,010716050d031201,0,
-48,-41,64,1,normal,010716050d031201,010716050d031201,0,
-48,-40,63,1,normal,010716050d031201,010716050d031201,0,
-48,-40,64,1,normal,010716050d031201,010716050d031201,0,
-48,-39,63,1,normal,010716050d031201,010716050d031201,0,
-48,-39,64,1,normal,010716050d031201,010716050d031201,0,
-48,-38,63,1,normal,010716050d031201,010716050d031201,0,
-48,-38,64,1,normal,010716050d031201,010716050d031201,0,
-48,-37,63,1,normal,010716050d031201,010716050d031201,0,
-48,-37,64,1,normal,010716050d031201,010716050d031201,0,
-48,-36,63,1,normal,010716050d031201,010716050d031201,0,
-48,-36,64,1,normal,010716050d031201,010716050d031201,0,
-48,-35,63,1,normal,010716050d031201,010716050d031201,0,
-48,-35,64,1,normal,010716050d031201,010716050d031201,0,
-48,-34,63,1,normal,010716050d031201,010716050d031201,0,
-48,-34,64,1,normal,010716050d031201,010716050d031201,0,
-48,-33,63,1,normal,010716050d031201,010716050d031201,0,
-48,-33,64,1,normal,010716050d031201,010716050d031201,0,
-48,-32,63,1,normal,010716050d031201,010716050d031201,0,
-48,-32,64,1,normal,010716050d031201,010716050d031201,0,
-48,-31,63,1,normal,010716050d031201,010716050d031201,0,
-48,-31,64,1,normal,010716050d031201,010716050d031201,0,
-48,-30,63,1,normal,010716050d031201,010716050d031201,0,
