width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
-40,-45,65,1,normal,010706050d030201,010706050d030201,0,
-40,-45,66,1,normal,010706050d030201,010706050d030201,0,
-40,-45,67,1,normal,010706050d030201,010706050d030201,0,
-40,-45,68,1,normal,010706050d030201,010706050d030201,0,
-40,-45,69,1,normal,010706050d030201,010706050d030201,0,
-40,-43,65,1,normal,010706050d030201,010706050d030201,0,
-40,-43,66,1,normal,010706050d030201,010706050d030201,0,
-40,-43,67,1,normal,010706050d030201,010706050d030201,0,
-40,-43,68,1,normal,010706050d030201,010706050d030201,0,
-40,-43,69,1,normal,010706050d030201,010706050d030201,0,
-40,-41,65,1,normal,010706050d030201,010706050d030201,0,
-40,-41,66,1,normal,010706050d030201,010706050d030201,0,
-40,-41,67,1,normal,010706050d030201,010706050d030201,0,
-40,-41,68,1,normal,010706050d030201,010706050d030201,0,
-40,-41,69,1,normal,010706050d030201,010706050d030201,0,
-40,-39,65,1,normal,010706050d030201,010706050d030201,0,
-40,-39,66,1,normal,010706050d030201,010706050d030201,0,
-40,-39,67,1,normal,010706050d030201,010706050d030201,0,
-40,-39,68,1,normal,010706050d030201,010706050d030201,0,
-40,-39,69,1,normal,010706050d030201,010706050d030201,0,
-40,-37,65,1,normal,010706050d030201,010706050d030201,0,
-40,-37,66,1,normal,010706050d030201,010706050d030201,0,
-40,-37,67,1,normal,010706050d030201,010706050d030201,0,
-40,-37,68,1,normal,010706050d030201,010706050d030201,0,
-40,-37,69,1,normal,010706050d030201,010706050d030201,0,
-40,-35,65,1,normal,010706050d030201,010706050d030201,0,
-40,-35,66,1,normal,010706050d030201,010706050d030201,0,
-40,-35,67,1,normal,010706050d030201,010706050d030201,0,
-40,-35,68,1,normal,010706050d030201,010706050d030201,0,
-40,-35,69,1,normal,010706050d030201,010706050d030201,0,
-40,-33,65,1,normal,010706050d030201,010706050d030201,0,
-40,-33,66,1,normal,010706050d030201,010706050d030201,0,
-40,-33,67,1,normal,010706050d030201,010706050d030201,0,
-40,-33,68,1,normal,010706050d030201,010706050d030201,0,
-40,-33,69,1,normal,010706050d030201,010706050d030201,0,
-40,-31,65,1,normal,010706050d030201,010706050d030201,0,
-40,-31,66,1,normal,010706050d030201,010706050d030201,0,
-40,-31,67,1,normal,010706050d030201,010706050d030201,0,
-40,-31,68,1,normal,010706050d030201,010706050d030201,0,
-40,-31,69,1,normal,010706050d030201,010706050d030201,0,
-40,-29,65,1,normal,010706050d030201,010706050d030201,0,
-40,-29,66,1,normal,010706050d030201,010706050d030201,0,
-40,-29,67,1,normal,010706050d030201,010706050d030201,0,
-40,-29,68,1,normal,010706050d030201,010706050d030201,0,
-40,-29,69,1,normal,010706050d030201,010706050d030201,0,
-40,-27,65,1,normal,010706050d030201,010706050d030201,0,
-40,-27,66,1,normal,010706050d030201,010706050d030201,0,
-40,-27,67,1,normal,010706050d030201,010706050d030201,0,
-40,-27,68,1,normal,010706050d030201,010706050d030201,0,
-40,-27,69,1,normal,010706050d030201,010706050d030201,0,
-40,-25,65,1,normal,010706050d030201,010706050d030201,0,
-40,-25,66,1,normal,010706050d030201,010706050d030201,0,
-40,-25,67,1,normal,010706050d030201,010706050d030201,0,
-40,-25,68,1,normal,010706050d030201,010706050d030201,0,
-40,-25,69,1,normal,010706050d030201,010706050d030201,0,
-40,-23,65,1,normal,010706050d030201,010706050d030201,0,
-40,-23,66,1,normal,010706050d030201,010706050d030201,0,
-40,-23,67,1,normal,010706050d030201,010706050d030201,0,
-40,-23,68,1,normal,010706050d030201,010706050d030201,0,
-40,-23,69,1,normal,010706050d030201,010706050d030201,0,
-40,-21,65,1,normal,010706050d030201,010706050d030201,0,
-40,-21,66,1,normal,010706050d030201,010706050d030201,0,
-40,-21,67,1,normal,010706050d030201,010706050d030201,0,
-40,-21,68,1,normal,010706050d030201,010706050d030201,0,
-40,-21,69,1,normal,010706050d030201,010706050d030201,0,
-40,-19,65,1,normal,010706050d030201,010706050d030201,0,
-40,-19,66,1,normal,010706050d030201,010706050d030201,0,
