trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,-10,14,64,5,fault,01010100,a4bd5cc8650959b62ce725c90a91ac33,0xc85cbda4,0xb6590965,0xc925e72c,0x33ac910a,0100093201340848,a4bd5cc801340848,4,0;1;2;3,a5;bd;55;fa
2,-10,14,64,5,fault,01010100,9c91a67fe24cfbb139ba499bf6f05295,0x7fa6919c,0xb1fb4ce2,0x9b49ba39,0x9552f0f6,e3415391ad094a9f,9c91a67fad094a9f,4,0;1;2;3,7f;d0;f5;ee
3,-10,14,64,5,fault,01010100,5ee70007d9571b96a4f025ef93057d72,0x0700e75e,0x961b57d9,0xef25f0a4,0x727d0593,9004181297b40083,5ee7000797b40083,4,0;1;2;3,ce;e3;18;15
4,-10,14,64,5,fault,01010100,31c3fca20205bbf574bcdc4dda7f4ca1,0xa2fcc331,0xf5bb0502,0x4ddcbc74,0xa14c7fda,030409a121c609e5,31c3fca221c609e5,4,0;1;2;3,32;c7;f5;03
5,-10,14,64,5,fault,01010100,168f10f733d35c62cac8396cc42fecfd,0xf7108f16,0x625cd333,0x6c39c8ca,0xfdec2fc4,01024d60054609f1,168f10f7054609f1,4,0;1;2;3,17;8d;5d;97
6,-10,14,64,5,fault,01010100,9b97e50f2bec07f96ff1585d15236a24,0x0fe5979b,0xf907ec2b,0x5d58f16f,0x246a2315,0021032030732150,9b97e50f30732150,4,0;1;2;3,9b;b6;e6;2f
7,-10,14,64,5,fault,01010100,0db50a6222dac51136a0f3718d8ea70b,0x620ab50d,0x11c5da22,0x71f3a036,0x0ba78e8d,018b84012aa5c073,0db50a622aa5c073,4,0;1;2;3,0c;3e;8e;63
8,-10,14,64,5,fault,01010100,6c061901805c1ce6345b3091dfed565d,0x0119066c,0xe61c5c80,0x91305b34,0x5d56eddf,814d1544695f1180,6c061901695f1180,4,0;1;2;3,ed;4b;0c;45
9,-10,14,64,5,fault,01010100,765a6d49370e395089e2440d5f8623e0,0x496d5a76,0x50390e37,0x0d44e289,0xe023865f,1607204056436449,765a6d4956436449,4,0;1;2;3,60;5d;4d;09
10,-10,14,64,5,fault,01010100,5cfc1cdfe7e6ecba37c621fa7dc40ec9,0xdf1cfc5c,0xbaece6e7,0xfa21c637,0xc90ec47d,64c50d886ec72da9,5cfc1cdf6ec72da9,4,0;1;2;3,38;39;11;57
11,-10,14,64,5,fault,01010100,dcda95ce30874a996bb1116688450481,0xce95dadc,0x994a8730,0x6611b16b,0x81044588,01040181e15014c6,dcda95cee15014c6,4,0;1;2;3,dd;de;94;4f
12,-10,14,64,5,fault,01010100,7c4320ed8e1fa2a31cee7a88eecf99dd,0xed20437c,0xa3a21f8e,0x887aee1c,0xdd99cfee,8f0e81817d0e03c5,7c4320ed7d0e03c5,4,0;1;2;3,f3;4d;a1;6c
13,-10,14,64,5,fault,01010100,f72a2b53fdcd31ffcde0f1c87c087c43,0x532b2af7,0xff31cdfd,0xc8f1e0cd,0x437c087c,7d0931437de939cb,f72a2b537de939cb,4,0;1;2;3,8a;23;1a;10
14,-10,14,64,5,fault,01010100,6a20befb1f1f34c549deae56e86dc738,0xfbbe206a,0xc5341f1f,0x56aede49,0x38c76de8,090c0500283f0d2e,6a20befb283f0d2e,4,0;1;2;3,63;2c;bb;fb
15,-10,14,64,5,fault,01010100,4f9db8184ce400d29350961765d29edc,0x18b89d4f,0xd200e44c,0x17965093,0xdc9ed265,45c101d047c1091a,4f9db81847c1091a,4,0;1;2;3,0a;5c;b9;c8
16,-10,14,64,5,fault,01010100,5a1c4b2334ddee32c3d99290bd8caa7a,0x234b1c5a,0x32eedd34,0x9092d9c3,0x7aaa8cbd,358dab325bcc8b32,5a1c4b235bcc8b32,4,0;1;2;3,6f;91;e0;11
17,-10,14,64,5,fault,01010100,e0320734cd202e3ce5092f9eb05323f8,0x340732e0,0x3c2e20cd,0x9e2f09e5,0xf82353b0,8101233884132b38,e032073484132b38,4,0;1;2;3,61;33;24;0c
18,-10,14,64,5,fault,01010100,d532e281968ff679fa3bf1bbc957559a,0x81e232d5,0x79f68f96,0xbbf13bfa,0x9a5557c9,81065518822a5138,d532e281822a5138,4,0;1;2;3,54;34;b7;99
19,-10,14,64,5,fault,01010100,9949fe9eedd31e95e2f9423f41b9a1c2,0x9efe4999,0x951ed3ed,0x3f42f9e2,0xc2a1b941,409001806090e189,9949fe9e6090e189,4,0;1;2;3,d9;d9;ff;1e
20,-10,14,64,5,fault,01010100,5ed1412c30c79fec9bf9718138ddcf71,0x2c41d15e,0xec9fc730,0x8171f99b,0x71cfdd38,31c48e6013c010a0,5ed1412c13c010a0,4,0;1;2;3,6f;15;cf;4c
21,-10,14,64,5,fault,01010100,466ba5e33a15b092f244d2198c5e5524,0xe3a56b46,0x92b0153a,0x19d244f2,0x24555e8c,09151100750f1431,466ba5e3750f1431,4,0;1;2;3,4f;7e;b4;e3
22,-10,14,64,5,fault,01010100,c1cad9e1ea25a5e3b3c032a2bb26c28d,0xe1d9cac1,0xe3a525ea,0xa232c0b3,0x8dc226bb,ab258181a3c3f183,c1cad9e1a3c3f183,4,0;1;2;3,6a;ef;58;60
23,-10,14,64,5,fault,01010100,5eb6e871409e188dfd996f63c1a0feae,0x71e8b65e,0x8d189e40,0x636f99fd,0xaefea0c1,4181198c5da98940,5eb6e8715da98940,4,0;1;2;3,1f;37;f1;fd
24,-10,14,64,5,fault,01010100,d038c68b77dd2a7764c679121743364e,0x8bc638d0,0x772add77,0x1279c664,0x4e364317,1640234635c56f1a,d038c68b35c56f1a,4,0;1;2;3,c6;78;e5;cd
25,-10,14,64,5,fault,01010100,ce9052e5c6ccdae1b65bb46020ec375a,0xe55290ce,0xe1daccc6,0x60b45bb6,0x5a37ec20,01cd134001d99340,ce9052e501d99340,4,0;1;2;3,cf;5d;41;a5
26,-10,14,64,5,fault,01010100,60cec3b0a5c1aa1ec2f292d666dc0d50,0xb0c3ce60,0x1eaac1a5,0xd692f2c2,0x500ddc66,25c10910a1cf0096,60cec3b0a1cf0096,4,0;1;2;3,45;0f;ca;a0
27,-10,14,64,5,fault,01010100,af0a41fffd47b06248ef1080c932d981,0xff410aaf,0x62b047fd,0x8010ef48,0x81d932c9,c8039100c84e5001,af0a41ffc84e5001,4,0;1;2;3,67;09;d0;ff
28,-10,14,64,5,fault,01010100,4aab47a449f2313c95e52a330d8e1ea6,0xa447ab4a,0x3c31f249,0x332ae595,0xa61e8e0d,0883112408ca25b4,4aab47a408ca25b4,4,0;1;2;3,42;28;56;80
29,-10,14,64,5,fault,01010100,786f7c1fc4ab1d01c0fa0503c5bb5373,0x1f7c6f78,0x011dabc4,0x0305fac0,0x7353bbc5,c5aa1001c1ea5011,786f7c1fc1ea5011,4,0;1;2;3,bd;c5;6c;1e
30,-10,14,64,5,fault,01010100,1e9f6af4ffee160ec40f26105190b8b1,0xf46a9f1e,0x0e16eeff,0x10260fc4,0xb1b89051,50811100d1900da0,1e9f6af4d1900da0,4,0;1;2;3,4e;1e;7b;f4
31,-10,14,64,5,fault,01010100,8af92d17c2b4e370601b2feb4045ac8c,0x172df98a,0x70e3b4c2,0xeb2f1b60,0x8cac4540,4105a10041492367,8af92d1741492367,4,0;1;2;3,cb;fc;8c;17
32,-10,14,64,5,fault,01010100,78b6bd90a9f55a8d7beb0de93cd40647,0x90bdb678,0x8d5af5a9,0xe90deb7b,0x4706d43c,29d5030568d60009,78b6bd9068d60009,4,0;1;2;3,51;63;be;95
33,-10,14,64,5,fault,01010100,a70873712edccee8bffcc331d85d96c2,0x717308a7,0xe8cedc2e,0x31c3fcbf,0xc2965dd8,095d87c008dd9251,a708737108dd9251,4,0;1;2;3,ae;55;f4;b1
34,-10,14,64,5,fault,01010100,c1131480810e75eb370c387fc51df75f,0x801413c1,0xeb750e81,0x7f380c37,0x5ff71dc5,800d744bc01c356b,c1131480c01c356b,4,0;1;2;3,41;1e;60;cb
35,-10,14,64,5,fault,01010100,d3a7874ed71c340884a658335c66ed63,0x4e87a7d3,0x08341cd7,0x3358a684,0x63ed665c,5505250055859440,d3a7874e55859440,4,0;1;2;3,86;a2;a2;4e
36,-10,14,64,5,fault,01010100,8539d0dc27724ddac3d0f643a59b56f0,0xdcd03985,0xda4d7227,0x43f6d0c3,0xf0569ba5,241345d00658c5d2,8539d0dc0658c5d2,4,0;1;2;3,a1;2a;95;0c
37,-10,14,64,5,fault,01010100,00174555b6026d7c42d2ecefe3cd3b39,0x55451700,0x7c6d02b6,0xefecd242,0x393bcde3,a301283803142838,0017455503142838,4,0;1;2;3,a3;16;6d;6d
38,-10,14,64,5,fault,01010100,d80d25cd279ab4a81efce5130d1531fc,0xcd250dd8,0xa8b49a27,0x13e5fc1e,0xfc31150d,041131a81790a1cd,d80d25cd1790a1cd,4,0;1;2;3,dc;1c;14;65
39,-10,14,64,5,fault,01010100,5076cac445d4409f593bc4d043265ebf,0xc4ca7650,0x9f40d445,0xd0c43b59,0xbf5e2643,4005419f5005cbd4,5076cac45005cbd4,4,0;1;2;3,10;73;8b;5b
40,-10,14,64,5,fault,01010100,a2f5961141176a4d3ee1c5c5276cfe1d,0x1196f5a2,0x4d6a1741,0xc5c5e13e,0x1dfe6c27,00056b0d01855355,a2f5961101855355,4,0;1;2;3,a2;f0;fd;1c
41,-10,14,64,5,fault,01010100,2fb6af21f55a160b981df8931011c199,0x21afb62f,0x0b165af5,0x93f81d98,0x99c11110,11110109991d3803,2fb6af21991d3803,4,0;1;2;3,3e;a7;ae;28
42,-10,14,64,5,fault,01010100,db54679650c3328d8ba4631f55d31010,0x966754db,0x8d32c350,0x1f63a48b,0x1010d355,51c21100dbd5400b,db546796dbd5400b,4,0;1;2;3,8a;96;76;96
43,-10,14,64,5,fault,01010100,f9c52fbe7d8d8b786343fc3af559511a,0xbe2fc5f9,0x788b8d7d,0x3afc4363,0x1a5159f5,74080018f000a418,f9c52fbef000a418,4,0;1;2;3,8d;cd;2f;a6
44,-10,14,64,5,fault,01010100,6ac7310457e9232a6f0111b8f06ceb69,0x0431c76a,0x2a23e957,0xb811016f,0x69eb6cf0,516922284c453028,6ac731044c453028,4,0;1;2;3,3b;ae;13;2c
45,-10,14,64,5,fault,01010100,0acb686741d700f74783f3bb9310e9ea,0x6768cb0a,0xf700d741,0xbbf38347,0xeae91093,001101e2400109f2,0acb6867400109f2,4,0;1;2;3,0a;da;69;85
46,-10,14,64,5,fault,01010100,52653c9f967ec185ab855fea4caeff4f,0x9f3c6552,0x85c17e96,0xea5f85ab,0x4fffae4c,052fc005c1246005,52653c9fc1246005,4,0;1;2;3,57;4a;fc;9a
47,-10,14,64,5,fault,01010100,be752e3ff8ade7f451dced8757ef375e,0x3f2e75be,0xf4e7adf8,0x87eddc51,0x5e37ef57,51ac265457bcee9d,be752e3f57bcee9d,4,0;1;2;3,ef;d9;08;6b
48,-10,14,64,5,fault,01010100,cdc02c17702c0e9e58455d48368bacc7,0x172cc0cd,0x9e0e2c70,0x485d4558,0xc7ac8b36,31090d861dc52d0f,cdc02c171dc52d0f,4,0;1;2;3,fc;c9;21;91
49,-10,14,64,5,fault,01010100,19fa083cdc30b5ec96d6d2ecd8b09a15,0x3c08fa19,0xecb530dc,0xecd2d696,0x159ab0d8,d93191049d7399d4,19fa083c9d7399d4,4,0;1;2;3,c0;cb;99;38
50,-10,14,64,5,fault,01010100,920e8d54cbe1d88bcce5c19f32efc838,0x548d0e92,0x8bd8e1cb,0x9fc1e5cc,0x38c8ef32,03e0c9085beac88f,920e8d545beac88f,4,0;1;2;3,91;ee;44;5c
51,-10,14,64,5,fault,01010100,4892562c4ae7cefdab185200c9f12bdf,0x2c569248,0xfdcee74a,0x005218ab,0xdf2bf1c9,49e00bdd4b81130c,4892562c4b81130c,4,0;1;2;3,01;72;5d;f1
52,-10,14,64,5,fault,01010100,df1a2b157890e43392c9cc85c30c0cdd,0x152b1adf,0x33e49078,0x85ccc992,0xdd0c0cc3,410105114081c511,df1a2b154081c511,4,0;1;2;3,9e;1b;2e;04
53,-10,14,64,5,fault,01010100,6213b90a233e33b6be8d02946195eee6,0x0ab91362,0xb6333e23,0x94028dbe,0xe6ee9561,201523a6611dab96,6213b90a611dab96,4,0;1;2;3,42;06;9a;ac
54,-10,14,64,5,fault,01010100,c2cc13489c236413d07cf65df155b64f,0x4813ccc2,0x1364239c,0x5df67cd0,0x4fb655f1,9100250391296511,c2cc134891296511,4,0;1;2;3,53;cc;36;4b
55,-10,14,64,5,fault,01010100,94a4254cce2e934be9da4e176746d767,0x4c25a494,0x4b932ece,0x174edae9,0x67d74667,470792434d8f0243,94a4254c4d8f0243,4,0;1;2;3,d3;a3;b7;0f
56,-10,14,64,5,fault,01010100,5ea082f7c7ea12d0fd65511157ddb69c,0xf782a05e,0xd012eac7,0x115165fd,0x9cb6dd57,46c91390cec19395,5ea082f7cec19395,4,0;1;2;3,18;69;91;67
57,-10,14,64,5,fault,01010100,e92eeee7b2440ab9703ea0fadf8e01d5,0xe7ee2ee9,0xb90a44b2,0xfaa03e70,0xd5018edf,930501919825a19f,e92eeee79825a19f,4,0;1;2;3,7a;2b;ef;76
58,-10,14,64,5,fault,01010100,c91ef267f3f7c53ff04ea698e302b0af,0x67f21ec9,0x3fc5f7f3,0x98a64ef0,0xafb002e3,e203812ff04b973f,c91ef267f04b973f,4,0;1;2;3,2b;1d;73;48
59,-10,14,64,5,fault,01010100,19720cdbce1bb2d838575f2038ce7a17,0xdb0c7219,0xd8b21bce,0x205f5738,0x177ace38,090b331009021713,19720cdb09021713,4,0;1;2;3,10;79;3f;cb
60,-10,14,64,5,fault,01010100,2c275b1f60a5660923c6849e720f00c1,0x1f5b272c,0x0966a560,0x9e84c623,0xc1000f72,6104010121840517,2c275b1f21840517,4,0;1;2;3,4d;23;5a;1e
61,-10,14,64,5,fault,01010100,a0f4722985cdb09cff3cc4597f56640b,0x2972f4a0,0x9cb0cd85,0x59c43cff,0x0b64567f,04452108046da118,a0f47229046da118,4,0;1;2;3,a4;b1;53;21
62,-10,14,64,5,fault,01010100,befa8e128b9df2711bf331b2a5b9b42c,0x128efabe,0x71f29d8b,0xb231f31b,0x2cb4b9a5,8098b120b4dab522,befa8e12b4dab522,4,0;1;2;3,3e;62;3f;32
63,-10,14,64,5,fault,01010100,e9027395381e7c90d5b6ba02d07e5512,0x957302e9,0x907c1e38,0x02bab6d5,0x12557ed0,111f551010175a10,e902739510175a10,4,0;1;2;3,f8;1d;26;85
64,-10,14,64,5,fault,01010100,8b391d170530309685dc55f2b09d9c9d,0x171d398b,0x96303005,0xf255dc85,0x9d9c9db0,0111119405101895,8b391d1705101895,4,0;1;2;3,8a;28;0c;83
65,-10,14,64,5,fault,01010100,c3f0fe5fd61dcc4310cac623208c156f,0x5ffef0c3,0x43cc1dd6,0x23c6ca10,0x6f158c20,010d05431149174f,c3f0fe5f1149174f,4,0;1;2;3,c2;fd;fb;1c
66,-10,14,64,5,fault,01010100,ab6e20b5a4d759e4ab1383521dde8b35,0xb5206eab,0xe459d7a4,0x528313ab,0x358bde1d,05d70824035e0065,ab6e20b5035e0065,4,0;1;2;3,ae;b9;28;91
67,-10,14,64,5,fault,01010100,d201a3462344f899a2ee82635967ec1c,0x46a301d2,0x99f84423,0x6382eea2,0x1cec6759,0045e918f144a347,d201a346f144a347,4,0;1;2;3,d2;44;4a;5e
68,-10,14,64,5,fault,01010100,01ea2189273c14f5050b3bccba6e7e9e,0x8921ea01,0xf5143c27,0xcc3b0b05,0x9e7e6eba,232d1594056910c4,01ea2189056910c4,4,0;1;2;3,22;c7;34;1d
69,-10,14,64,5,fault,01010100,e1d15c1da101c105c9825a2c6b4757b0,0x1d5cd1e1,0x05c101a1,0x2c5a82c9,0xb057476b,2000400020c04d18,e1d15c1d20c04d18,4,0;1;2;3,c1;d1;1c;1d
70,-10,14,64,5,fault,01010100,943defd77b6a0ecf7a82d99f801195be,0xd7ef3d94,0xcf0e6a7b,0x9fd9827a,0xbe951180,0101058eeb12458e,943defd7eb12458e,4,0;1;2;3,95;3c;ea;59
71,-10,14,64,5,fault,01010100,cf1949b94fd063b1e1e3eca2a053ac64,0xb94919cf,0xb163d04f,0xa2ece3e1,0x64ac53a0,0151212001d12120,cf1949b901d12120,4,0;1;2;3,ce;48;68;99
72,-10,14,64,5,fault,01010100,bebd18f6ab8b3cc231bd6fed5146f66d,0xf618bdbe,0xc23c8bab,0xed6fbd31,0x6df64651,0003354000313540,bebd18f600313540,4,0;1;2;3,be;be;2d;b6
73,-10,14,64,5,fault,01010100,ae7593f48a5436c084f708f6f329e596,0xf49375ae,0xc036548a,0xf608f784,0x96e529f3,83012580a70180a0,ae7593f4a70180a0,4,0;1;2;3,2d;74;b6;74
74,-10,14,64,5,fault,01010100,b591bf3f06981a5b4f7b799ffd484329,0x3fbf91b5,0x5b1a9806,0x9f797b4f,0x294348fd,05090309b708232d,b591bf3fb708232d,4,0;1;2;3,b0;98;bc;36
75,-10,14,64,5,fault,01010100,0ed1cdfea9486c67a3eff0ec7a500b6d,0xfecdd10e,0x676c48a9,0xecf0efa3,0x6d0b507a,29410965a8d8a8e4,0ed1cdfea8d8a8e4,4,0;1;2;3,27;90;c4;9b
76,-10,14,64,5,fault,01010100,3f6ad2f10e17c023294c197fb477b749,0xf1d26a3f,0x23c0170e,0x7f194c29,0x49b777b4,05168101142f8313,3f6ad2f1142f8313,4,0;1;2;3,3a;7c;53;f0
77,-10,14,64,5,fault,01010100,73e8754ffbbfc812f42a4818b53ad605,0x4f75e873,0x12c8bffb,0x18482af4,0x05d63ab5,b03bc100b02b5d1d,73e8754fb02b5d1d,4,0;1;2;3,c3;d3;b4;4f
78,-10,14,64,5,fault,01010100,ee4a23d5715d410c788f749b52c23f40,0xd5234aee,0x0c415d71,0x9b748f78,0x403fc252,514100005b4442d9,ee4a23d55b4442d9,4,0;1;2;3,bf;0b;23;d5
79,-10,14,64,5,fault,01010100,c3684ecf6b8452015e9f78cecaf7fa61,0xcf4e68c3,0x0152846b,0xce789f5e,0x61faf7ca,4b855301cbed538f,c3684ecfcbed538f,4,0;1;2;3,88;ed;1d;ce
80,-10,14,64,5,fault,01010100,acb4beb1764d96d03ddfd6d86eea2992,0xb1beb4ac,0xd0964d76,0xd8d6df3d,0x9229ea6e,67490190357829d0,acb4beb1357829d0,4,0;1;2;3,cb;fd;bf;21
81,-10,14,64,5,fault,01010100,cb2141f98df70258dc67d98ddb26fc31,0xf94121cb,0x5802f78d,0x8dd967dc,0x31fc26db,882701108e6700b0,cb2141f98e6700b0,4,0;1;2;3,43;06;40;e9
82,-10,14,64,5,fault,01010100,23bc259cf6f485283cc9e2f00a663f47,0x9c25bc23,0x2885f4f6,0xf0e2c93c,0x473f660a,03650400176d84b4,23bc259c176d84b4,4,0;1;2;3,20;d9;21;9c
83,-10,14,64,5,fault,01010100,7fb123b7ca9ef899ca4c673a6fe46f79,0xb723b17f,0x99f89eca,0x3a674cca,0x796fe46f,4b856919eead611b,7fb123b7eead611b,4,0;1;2;3,34;34;4a;ae
84,-10,14,64,5,fault,01010100,cef8624e9f77f920ddcf7466a68b9183,0x4e62f8ce,0x20f9779f,0x6674cfdd,0x83918ba6,87029000d6061164,cef8624ed6061164,4,0;1;2;3,49;fa;f2;4e
85,-10,14,64,5,fault,01010100,790f4d2b130c4be7a1ad2b214c5e91c9,0x2b4d0f79,0xe74b0c13,0x212bada1,0xc9915e4c,010d00c1690e0209,790f4d2b690e0209,4,0;1;2;3,78;02;4d;ea
86,-10,14,64,5,fault,01010100,d57838c7487947efa58f3cd5a6f13ce1,0xc73878d5,0xef477948,0xd53c8fa5,0xe13cf1a6,017005e1007005c1,d57838c7007005c1,4,0;1;2;3,d4;08;3d;26
87,-10,14,64,5,fault,01010100,5f93884941c2ac6c871f5a0a13bfabce,0x4988935f,0x6cacc241,0x0a5a1f87,0xceabbf13,0083a94c14838948,5f93884914838948,4,0;1;2;3,5f;10;21;05
88,-10,14,64,5,fault,01010100,607efb0eaf4538ad6affa5dae0a1e942,0x0efb7e60,0xad3845af,0xdaa5ff6a,0x42e9a1e0,a10029002b1a6980,607efb0e2b1a6980,4,0;1;2;3,c1;7e;d2;0e
