trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,-10,14,64,5,fault,f6b2b807,9415d09893edce422188ebe3fe8ed282,0x98d01594,0x42ceed93,0xe3eb8821,0x82d28efe,643e7a05633e6245,9415d098633e6245,4,0;1;2;3,f0;2b;aa;9d
2,-10,14,64,5,fault,b16a7ed6,16aec3248d461b805b37bb2e11c19fcd,0x24c3ae16,0x801b468d,0x2ebb375b,0xcd9fc111,b02a6556baca65f6,16aec324baca65f6,4,0;1;2;3,a6;84;a6;72
3,-10,14,64,5,fault,6e47ba25,13f398bbe54e555b86fb362b7d3bc748,0xbb98f313,0x5b554ee5,0x2b36fb86,0x48c73b7d,0b4dff6df9cd3e0d,13f398bbf9cd3e0d,4,0;1;2;3,18;be;67;d6
4,-10,14,64,5,fault,e322f358,ba8717976a26f9439f686e8790375352,0x971787ba,0x43f9266a,0x876e689f,0x52533790,e304a21ae3058ece,ba871797e3058ece,4,0;1;2;3,59;83;b5;8d
5,-10,14,64,5,fault,d960b6e2,64cf9df580ece2aee93194d524d91467,0xf59dcf64,0xaee2ec80,0xd59431e9,0x6714d924,d9a8b6c41d88b6d6,64cf9df51d88b6d6,4,0;1;2;3,bd;67;2b;31
6,-10,14,64,5,fault,f74b3361,ec0ba94c3d5cfc902fe658bb42a63930,0x4ca90bec,0x90fc5c3d,0xbb58e62f,0x3039a642,f74f0b71b60f4af9,ec0ba94cb60f4af9,4,0;1;2;3,1b;44;a2;3d
7,-10,14,64,5,fault,e039d5cd,b42cbff4e3f0e8b7121b20c1829398fd,0xf4bf2cb4,0xb7e8f0e3,0xc1201b12,0xfd989382,62a95d7872214d78,b42cbff472214d78,4,0;1;2;3,d6;85;e2;8c
8,-10,14,64,5,fault,6f052966,43b27b11eb8a78f4961fbea87c0f953b,0x117bb243,0xf4788aeb,0xa8be1f96,0x3b950f7c,070f3956af1f3ad7,43b27b11af1f3ad7,4,0;1;2;3,44;bd;42;47
9,-10,14,64,5,fault,281d8f80,d64efcca09787e20170e2fed0fb7f647,0xcafc4ed6,0x207e7809,0xed2f0e17,0x47f6b70f,212df980391d792a,d64efcca391d792a,4,0;1;2;3,f7;63;05;4a
10,-10,14,64,5,fault,eb337581,75c4d91623b03cf18992313979580b4a,0x16d9c475,0xf13cb023,0x39319289,0x4a0b5879,ca237dc19a635da2,75c4d9169a635da2,4,0;1;2;3,bf;e7;a4;d7
11,-10,14,64,5,fault,e5641945,2529410db00c447221e4dfdab4bf8639,0x0d412925,0x72440cb0,0xdadfe421,0x3986bfb4,55681d75c0691c16,2529410dc0691c16,4,0;1;2;3,70;41;5c;78
12,-10,14,64,5,fault,fcde7b28,cd1fc241f878be4537c36bc577f870ff,0x41c21fcd,0x45be78f8,0xc56bc337,0xff70f877,8ca64b6d8c85536d,cd1fc2418c85536d,4,0;1;2;3,41;b9;89;2c
13,-10,14,64,5,fault,7aa662ad,7cc9d3aa3d4c132036e4f00c9e5b13c2,0xaad3c97c,0x20134c3d,0x0cf0e436,0xc2135b9e,66ee71ad666bb127,7cc9d3aa666bb127,4,0;1;2;3,1a;27;a2;07
14,-10,14,64,5,fault,4004cb5f,77aa6be162edcb393359daa513c3dd65,0xe16baa77,0x39cbed62,0xa5da5933,0x65ddc313,42c5027e42c702be,77aa6be142c702be,4,0;1;2;3,35;6f;69;9f
15,-10,14,64,5,fault,2a29710a,c3d9405aa2f016a207753dbad5547ea0,0x5a40d9c3,0xa216f0a2,0xba3d7507,0xa07e54d5,aa7967aaea5825b2,c3d9405aea5825b2,4,0;1;2;3,69;a0;27;f0
16,-10,14,64,5,fault,fbe9cb7a,90deadac44057dcfafefc4cde86ee910,0xacadde90,0xcf7d0544,0xcdc4efaf,0x10e96ee8,bbeda27aff6ca23b,90deadacff6ca23b,4,0;1;2;3,2b;33;0f;d6
17,-10,14,64,5,fault,bca6fe5b,7e9e00f5ddeda4078e1e24d037f14574,0xf5009e7e,0x07a4eddd,0xd0241e8e,0x7445f137,a947fa5f0824daff,7e9e00f50824daff,4,0;1;2;3,d7;d9;fa;aa
18,-10,14,64,5,fault,fde7f805,921ca3b0feaa859932335520498c16d9,0xb0a31c92,0x9985aafe,0x20553332,0xd9168c49,b56ffc9cddd9feb5,921ca3b0ddd9feb5,4,0;1;2;3,27;73;5f;2c
19,-10,14,64,5,fault,8136dd4d,020725e28bc493ef27279d07f58ad57c,0xe2250702,0xef93c48b,0x079d2727,0x7cd58af5,00b64c2180374c28,020725e280374c28,4,0;1;2;3,02;b1;69;c3
20,-10,14,64,5,fault,c858c1b1,508797df8efd5da23cd4a8b6467e28fe,0xdf978750,0xa25dfd8e,0xb6a8d43c,0xfe287e46,ce24c913940e495b,508797df940e495b,4,0;1;2;3,9e;a3;5e;cc
21,-10,14,64,5,fault,0ed69033,331802fed8fcc5823486343ffe7176d0,0xfe021833,0x82c5fcd8,0x3f348634,0xd07671fe,d6a6d4b31c4296df,331802fe1c4296df,4,0;1;2;3,e5;be;d6;4d
22,-10,14,64,5,fault,d95e5ff7,c9a966b5d6f8829c695f6d860839f697,0xb566a9c9,0x9c82f8d6,0x866d5f69,0x97f63908,d966dd63d8265d62,c9a966b5d8265d62,4,0;1;2;3,10;cf;bb;d6
23,-10,14,64,5,fault,63e119da,8949184ac8510eddf44a3aaf237cb2aa,0x4a184989,0xdd0e51c8,0xaf3a4af4,0xaab27c23,63b11b5222a11b57,8949184a22a11b57,4,0;1;2;3,ea;f8;03;18
24,-10,14,64,5,fault,27c0ee79,4eb2d2cf5841306bc74c8e7fa5f750f5,0xcfd2b24e,0x6b304158,0x7f8e4cc7,0xf550f7a5,2781fe1825323c98,4eb2d2cf25323c98,4,0;1;2;3,69;33;2c;d7
