trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,-10,14,67,5,fault,8faa9592,49bf34b268e1793eba5e14d294cbdf92,0xb234bf49,0x3e79e168,0xd2145eba,0x92dfcb94,8f6bcc80af7f8580,00c15912280a5d92,8,0;1;2;3;4;5;6;7,8f;aa;95;92;87;75;d8;12
2,-10,14,67,5,fault,8a4e001e,e2aefd9e509ec0aeecbf5f08452673b3,0x9efdaee2,0xaec09e50,0x085fbfec,0xb3732645,ca4840bc6a586c8c,400640a240be7138,7,0;1;3;4;5;6;7,8a;4e;1e;2a;e6;1d;b4
3,-10,14,67,5,fault,7f037493,295d271477432fdd8bb1d4048115b8ba,0x14275d29,0xdd2f4377,0x04d4b18b,0xbab81581,7e025c0b74065483,0101289803150c8c,8,0;1;2;3;4;5;6;7,7f;03;74;93;77;13;58;0f
4,-10,14,67,5,fault,092fdbbd,3b709f98f78825d50264790d2bbbadff,0x989f703b,0xd52588f7,0x0d796402,0xffadbb2b,2aa7fe68227f6e28,238825d50ab88948,8,0;1;2;3;4;5;6;7,09;2f;db;bd;28;c7;e7;60
5,-10,14,67,5,fault,988e2fb3,609158483774991fa06de8583f9499f4,0x48589160,0x1f997437,0x58e86da0,0xf499943f,af9ab6a7b87bf7a3,3714991437e0094c,8,0;1;2;3;4;5;6;7,98;8e;2f;b3;8f;9b;fe;ef
6,-10,14,67,5,fault,54d975ea,0b5a9d12401a5b0f1736821d12dc9dc5,0x129d5a0b,0x0f5b1a40,0x1d823617,0xc59ddc12,54c16cef55816af7,0018190502528608,8,0;1;2;3;4;5;6;7,54;d9;75;ea;57;d3;ec;ff
7,-10,14,67,5,fault,16f6f360,4aa9db95ce440d3566de81385a39377f,0x95dba94a,0x350d44ce,0x3881de66,0x7f37395a,5cf6f65558136055,4a000535466d1710,8,0;1;2;3;4;5;6;7,16;f6;f3;60;1e;7e;77;45
8,-10,14,67,5,fault,a60d523b,b838a2c26e01e725cc1ce42eb5663c3d,0xc2a238b8,0x25e7016e,0x2ee41ccc,0x3d3c66b5,820d761ed235361d,24002425d820e001,8,0;1;2;3;4;5;6;7,a6;0d;52;3b;0a;15;d6;1c
9,-10,14,67,5,fault,736389fd,1731b148ba2c6a73a9bfd99e77e2dc3f,0x48b13117,0x736a2cba,0x9ed9bfa9,0x3fdce277,4143c1cecd5ec0ef,322048338d2c9029,8,0;1;2;3;4;5;6;7,73;63;89;fd;40;72;50;c6
10,-10,14,67,5,fault,4f327093,33e2a0a05f6ad8af0b62bb81cfcaff6b,0xa0a0e233,0xafd86a5f,0x81bb620b,0x6bffcacf,0078a8b844f0e8b2,4f4ad82b47eae08a,8,0;1;2;3;4;5;6;7,4f;32;70;93;03;1a;08;38
