trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-3,63,10,fault,01010100,23b8fb0c2430224f510b7760621f9d31,0x0cfbb823,0x4f223024,0x60770b51,0x319d1f62,211101012211c940,2010000101087300,7,0;1;2;4;5;6;7,01;01;01;23;19;ba;40
2,2,-3,63,10,normal,01010100,6fa75ab53b80848b8a3f47d233dbbb37,0xb55aa76f,0x8b84803b,0xd2473f8a,0x37bbdb33,3281810322a55d27,3281810322a55d27,0,,
3,2,-3,63,10,fault,01010100,653ff487dc8907c77e5dcb173c5b16b3,0x87f43f65,0xc70789dc,0x17cb5d7e,0xb3165b3c,1d0807831d0ed683,1c090683641dc007,7,0;1;2;4;5;6;7,01;01;01;79;13;16;84
4,2,-3,63,10,normal,01010100,728f6f6ec62623f50cb9851a67a9f42f,0x6e6f8f72,0xf52326c6,0x1a85b90c,0x2ff4a967,4721212567216134,4721212567216134,0,,
5,2,-3,63,10,normal,01010100,3983972752738edbe180baf8a9c3d5e6,0x27978339,0xdb8e7352,0xf8ba80e1,0xe6d5c3a9,014285c249028cde,014285c249028cde,0,,
6,2,-3,63,10,fault,01010100,b5179cf0b5e3977e449611fe0071ee13,0xf09c17b5,0x7e97e3b5,0xfe119644,0x13ee7100,0160871201848c9e,b5179cf045869cee,8,0;1;2;3;4;5;6;7,b4;77;1b;e2;44;02;10;70
7,2,-3,63,10,fault,01010100,fdb07031271610f582baa3043c0558ac,0x3170b0fd,0xf5101627,0x04a3ba82,0xac58053c,250511a4bfa37124,00000000420b8215,8,0;1;2;3;4;5;6;7,25;05;11;a4;fd;a8;f3;31
8,2,-3,63,10,no_response,01010100,bde1e1cba6d97d1ae20ea57591d799b2,0xcbe1e1bd,0x1a7dd9a6,0x75a50ee2,0xb299d791,81d0181292c804d3,,0,,
9,2,-3,63,10,normal,01010100,5e4d4fe87c7fee58259668a8f9c6a91a,0xe84f4d5e,0x58ee7f7c,0xa8689625,0x1aa9c6f9,7947a918795728a8,7947a918795728a8,0,,
10,2,-3,63,10,normal,01010100,a18b8085f23dde1733b41248480cea36,0x85808ba1,0x17de3df2,0x4812b433,0x36ea0c48,410dcb1612bd9304,410dcb1612bd9304,0,,
11,2,-3,63,10,normal,01010100,a0ffb2a32984b2d9caae6b0c6713b369,0xa3b2ffa0,0xd9b28429,0x0c6baeca,0x69b31367,2001b349a938b329,2001b349a938b329,0,,
12,2,-3,63,10,normal,01010100,7eb929963d69b41de6bfa2831b92c739,0x9629b97e,0x1db4693d,0x83a2bfe6,0x39c7921b,1801851959018093,1801851959018093,0,,
13,2,-3,63,10,fault,01010100,2548fd0ff660bfffc68c0e84928a2a8d,0x0ffd4825,0xffbf60f6,0x840e8cc6,0x8d2a8a92,93012b8dc3012b8d,92002a8df66897f2,7,0;1;2;4;5;6;7,01;01;01;35;69;bc;7f
14,2,-3,63,10,no_response,01010100,46fa6a2a407f89b84035777a9fd75f73,0x2a6afa46,0xb8897f40,0x7a773540,0x735fd79f,0156083007d62830,,0,,
15,2,-3,63,10,fault,01010100,2484827586acdebdaaf4d48af3141e8c,0x75828424,0xbddeac86,0x8ad4f4aa,0x8c1e14f3,83051f8c8325578c,000000008325578c,4,0;1;2;3,83;05;1f;8c
16,2,-3,63,10,fault,01010100,4286989bfe04bcf1d25677022adf2e81,0x9b988642,0xf1bc04fe,0x027756d2,0x812edf2a,2b052d8193852d83,00000000fa861000,8,0;1;2;3;4;5;6;7,2b;05;2d;81;69;03;3d;83
17,2,-3,63,10,normal,01010100,2e13e47bec642f9f53626b88fa2618f8,0x7be4132e,0x9f2f64ec,0x886b6253,0xf81826fa,e925099869614af8,e925099869614af8,0,,
18,2,-3,63,10,no_response,01010100,f8c0a9f29ddc366cd37a55a5ab19953b,0xf2a9c0f8,0x6c36dc9d,0xa5557ad3,0x3b9519ab,88191528e81995b6,,0,,
19,2,-3,63,10,no_response,01010100,443e382d32b29e6c554c3d2388deda51,0x2d383e44,0x6c9eb232,0x233d4c55,0x51dade88,01939b4055133d00,,0,,
20,2,-3,63,10,normal,01010100,06174d9720cb45ec6751505147319068,0x974d1706,0xec45cb20,0x51505167,0x68903147,0100016821400151,0100016821400151,0,,
21,2,-3,63,10,fault,01010100,8583eb90764678a2e0b7de63064d5635,0x90eb8385,0xa2784676,0x63deb7e0,0x35564d06,07455120e585d132,0644502005004310,7,0;1;2;4;5;6;7,01;01;01;e0;85;92;22
22,2,-3,63,10,no_response,01010100,7851c15b1dfafe94451a86a4d25e9c03,0x5bc15178,0x94fefa1d,0xa4861a45,0x039c5ed2,115b9d00145b8787,,0,,
23,2,-3,63,10,normal,01010100,00353fb8eeaad60471c388ea921b3ec2,0xb83f3500,0x04d6aaee,0xea88c371,0xc23e1b92,830b17006193b728,830b17006193b728,0,,
24,2,-3,63,10,fault,01010100,f1bfdc117b535d5a6d4fa567ba21e1b2,0x11dcbff1,0x5a5d537b,0x67a54f6d,0xb2e121ba,3b004012b96c4053,3a014112610f8401,7,0;1;2;4;5;6;7,01;01;01;d8;63;c4;52
25,2,-3,63,10,fault,01010100,3cc0fe22246ef728562393fb5b6ade5d,0x22fec03c,0x28f76e24,0xfb932356,0x5dde6a5b,016bd7080963de0a,3cc0fe225b62ded9,7,0;1;2;3;4;5;7,3d;ab;29;2a;52;01;d3
