trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,3,-6,62,5,fault,04265681,f9c1f44b2706d6a04411f78d0d8b463e,0x4bf4c1f9,0xa0d60627,0x8df71144,0x3e468b0d,012410a149a63002,0000000000268001,8,0;1;2;3;4;5;6;7,01;24;10;a1;49;80;b0;03
2,3,-6,62,5,fault,4f6f1725,0d63e1aa2a87f3b4a07e019a0207073b,0xaae1630d,0xb4f3872a,0x9a017ea0,0x3b070702,4d6814156f081615,000000008078000a,8,0;1;2;3;4;5;6;7,4d;68;14;15;ef;70;16;1f
3,3,-6,62,5,fault,a18b3378,99690b04ae09dc4b4219f01d09ab2588,0x040b6999,0x4bdc09ae,0x1df01942,0x8825ab09,a9823770aaa2e275,0000000040102014,8,0;1;2;3;4;5;6;7,a9;82;37;70;ea;b2;c2;61
4,3,-6,62,5,fault,f6df984b,4923a0fa4e58aa87f221c444fe96e010,0xfaa02349,0x87aa584e,0x44c421f2,0x10e096fe,b8cf384bbcfc381f,00000000b4df184f,8,0;1;2;3;4;5;6;7,b8;cf;38;4b;08;23;20;50
5,3,-6,62,5,fault,0fb6f6b3,2569ac43b0cc6a5e070dba5012186a0a,0x43ac6925,0x5e6accb0,0x50ba0d07,0x0a6a1812,1fbe9cb90abb5ca1,000000000fbadce3,8,0;1;2;3;4;5;6;7,1f;be;9c;b9;05;01;80;42
6,3,-6,62,5,fault,32698f8c,604e7c7ecd65463fd90658dbda1658ee,0x7e7c4e60,0x3f4665cd,0xdb5806d9,0xee5816da,fa6dcfa2fb6dcfa3,00000000fb6dcf97,5,0;1;2;3;7,fa;6d;cf;a2;34
7,3,-6,62,5,fault,cda38695,18f5c537ad09cda50ea2f09afe0870c8,0x37c5f518,0xa5cd09ad,0x9af0a20e,0xc87008fe,61abc615d103c607,0000000002a2301a,8,0;1;2;3;4;5;6;7,61;ab;c6;15;d3;a1;f6;1d
8,3,-6,62,5,fault,c1efc18a,d68c3d48f501c943d799037615f90dd5,0x483d8cd6,0x43c901f5,0x760399d7,0xd50df915,d4eec8cbd6eeccc8,0000000014eec0c8,6,0;1;2;3;4;6,d4;ee;c8;cb;c2;0c
9,3,-6,62,5,fault,965fc687,cc483c02779553282cccea2397cc89c7,0x023c48cc,0x28539577,0x23eacc2c,0xc789cc97,81dbc7873adba4a7,000000000848a803,8,0;1;2;3;4;5;6;7,81;db;c7;87;32;93;0c;a4
10,3,-6,62,5,fault,34b3f9b6,4c732a1668799b8f31635bc6555ad1e2,0x162a734c,0x8f9b7968,0xc65b6331,0xe2d15a55,74eb683450e3e834,0000000011024040,8,0;1;2;3;4;5;6;7,74;eb;68;34;41;e1;a8;74
