trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
2,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
3,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
4,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
5,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
6,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
7,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
8,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
9,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
10,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
11,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
12,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
13,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
14,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
15,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
16,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
17,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
18,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
19,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
20,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
21,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
22,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
23,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
24,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
25,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
26,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
27,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
28,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
29,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
30,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
31,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
32,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
33,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
34,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
35,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
36,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
37,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
38,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
39,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
40,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
41,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
