trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-6,62,1,fault,00000000,8512d880fb5102aa1fb01db66b8f0383,0x80d81285,0xaa0251fb,0xb61db01f,0x83038f6b,6b0102821f0218a2,6b0102821b1000a2,3,4;5;6,04;12;18
2,2,-6,62,1,fault,00000000,2a7a0d76f6b52f503b0a784f62b6e6fd,0x760d7a2a,0x502fb5f6,0x4f780a3b,0xfde6b662,62b426503a382472,94010900d5b57719,8,0;1;2;3;4;5;6;7,f6;b5;2f;50;ef;8d;53;6b
3,2,-6,62,1,fault,00000000,de9329eaf8e55fe6b6617e5ac61191ef,0xea2993de,0xe65fe5f8,0x5a7e61b6,0xef9111c6,c00111e6e07177e2,c00111e6b0615e42,4,4;5;6;7,50;10;29;a0
4,2,-6,62,1,normal,00000000,81c75204a16fadaa0910e383056d1ded,0x0452c781,0xaaad6fa1,0x83e31009,0xed1d6d05,016d0da80145f386,016d0da80145f386,0,,
5,2,-6,62,1,fault,00000000,5e67bff4f4415d6bc5dab5127de29841,0xf4bf675e,0x6b5d41f4,0x12b5dac5,0x4198e27d,74401841dc603852,74401841c4401502,4,4;5;6;7,18;20;2d;50
6,2,-6,62,1,fault,00000000,47843a947a6f2efbfe28272e17758af7,0x943a8447,0xfb2e6f7a,0x2e2728fe,0xf78a7517,12650af33b2c0eba,12650af37a28262a,4,4;5;6;7,41;04;28;90
7,2,-6,62,1,fault,00000000,fb8bcc556d0746cc1f4dd13085576f2b,0x55cc8bfb,0xcc46076d,0x30d14d1f,0x2b6f5785,05074608970fcc11,050746080d054000,4,4;5;6;7,9a;0a;8c;11
8,2,-6,62,1,normal,00000000,b2e1c97e23b42c68a8278f4f82ffeba9,0x7ec9e1b2,0x682cb423,0x4f8f27a8,0xa9ebff82,02b4282802e44c2e,02b4282802e44c2e,0,,
9,2,-6,62,1,fault,00000000,12e7589c872b9e1e217f8a58668e63e4,0x9c58e712,0x1e9e2b87,0x588a7f21,0xe4638e66,060a020403cac284,81219c1ae0e97ffa,8,0;1;2;3;4;5;6;7,87;2b;9e;1e;e3;23;bd;7e
10,2,-6,62,1,normal,00000000,78574745e8eaf00990781d8bb8d87550,0x45475778,0x09f0eae8,0x8b1d7890,0x5075d8b8,a8c87000a8685048,a8c87000a8685048,0,,
11,2,-6,62,1,normal,00000000,779a6f5644b12890a89c99d6edc00064,0x566f9a77,0x9028b144,0xd6999ca8,0x6400c0ed,4480000045880182,4480000045880182,0,,
12,2,-6,62,1,normal,00000000,b3af33001d4ca52225ea563137b9e728,0x0033afb3,0x22a54c1d,0x3156ea25,0x28e7b937,1508a520174b3520,1508a520174b3520,0,,
13,2,-6,62,1,fault,00000000,a6c5e19503cba6c58e910428f1b7a8fe,0x95e1c5a6,0xc5a6cb03,0x2804918e,0xfea8b7f1,0183a0c42485a494,024806010bdba2ed,8,0;1;2;3;4;5;6;7,03;cb;a6;c5;2f;5e;06;79
14,2,-6,62,1,fault,00000000,a519de8dc8201104c252518574493406,0x8dde19a5,0x041120c8,0x855152c2,0x06344974,4000100464195585,40001004c0001104,4,4;5;6;7,a4;19;44;81
15,2,-6,62,1,fault,00000000,8579d82dcc6b2238bec14ecfdec97ccf,0x2dd87985,0x38226bcc,0xcf4ec1be,0xcf7cc9de,cc4920088c491208,cc4920088c410208,2,5;6,08;10
16,2,-6,62,1,fault,00000000,6c3717a0f7b34841a2960097ba005ac9,0xa017376c,0x4148b3f7,0x970096a2,0xc95a00ba,b2004841aa841201,b2004841a2920001,3,4;5;6,08;16;12
17,2,-6,62,1,normal,00000000,00a8e60daaac8dabb572e820099f4b83,0x0de6a800,0xab8dacaa,0x20e872b5,0x834b9f09,088c0983a0882a21,088c0983a0882a21,0,,
18,2,-6,62,1,normal,00000000,4442b84fcec831dc80944d6240d7e889,0x4fb84244,0xdc31c8ce,0x624d9480,0x89e8d740,40c02088c0c2a10b,40c02088c0c2a10b,0,,
19,2,-6,62,1,normal,00000000,09a1a782fe63e262d901cec9ef53519d,0x82a7a109,0x62e263fe,0xc9ce01d9,0x9d5153ef,ee434000d8014540,ee434000d8014540,0,,
