trial,width,offset,ext_offset,repeat,status,model_match,randomness_word_hex,randomness_bytes_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_hw_output,expected_sw_output,glitched_output,expected_fault_model_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex,expected_z0,expected_z1,glitched_z0,glitched_z1,model_fault_z0,model_fault_z1
1,-10,14,67,1,fault,other_fault,0xbb4b59d9,d9594bbb,cb4953002e3dccf6a4c73eefd12285ab,0x005349cb,0xf6cc3d2e,0xef3ec7a4,0xab8522d1,d979cf19bc1d545d,d979cf19bc1d545d,002084a2e5258944,d979cf1980411200,8,0;1;2;3;4;5;6;7,d9;59;4b;bb;59;38;dd;19,0x19cf79d9,0x5d541dbc,0xa2842000,0x448925e5,0x19cf79d9,0x00124180
2,-10,14,67,1,fault,other_fault,0x7b9fa445,45a49f7b,e258ddcebd76663aaa28c68f4d9c3e08,0xcedd58e2,0x3a6676bd,0x8fc628aa,0x083e9c4d,48b0b9730f9401f7,48b0b9730f9401f7,0d142608e52c7c0a,48b0b973a208c48e,8,0;1;2;3;4;5;6;7,45;a4;9f;7b;ea;b8;7d;fd,0x73b9b048,0xf701940f,0x0826140d,0x0a7c2ce5,0x73b9b048,0x8ec408a2
3,-10,14,67,1,fault,other_fault,0x98913644,44369198,7502c1fe34031dc1182f97cc66c9fb7f,0xfec10275,0xc11d0334,0xcc972f18,0x7ffbc966,603788d92037c4ea,603788d92037c4ea,240119415002cdff,603788d9100281cc,8,0;1;2;3;4;5;6;7,44;36;91;98;70;35;09;15,0xd9883760,0xeac43720,0x41190124,0xffcd0250,0xd9883760,0xcc810210
4,-10,14,67,1,fault,other_fault,0x7ca66709,0967a67c,971c697b2c2501260b8efca485c4fb0d,0x7b691c97,0x2601252c,0xa4fc8e0b,0x0dfbc485,0d63a778876ba771,0d63a778876ba771,0404010489046829,0d63a778030c6820,8,0;1;2;3;4;5;6;7,09;67;a6;7c;0e;6f;cf;58,0x78a7630d,0x71a76b87,0x04010404,0x29680489,0x78a7630d,0x20680c03
5,-10,14,67,1,fault,other_fault,0x749b5e4e,4e5e9b74,257e9bb9a35f9244a9ff0757de9440ec,0xb99b7e25,0x44925fa3,0x5707ffa9,0xec4094de,cc4a9b30ca6b9a89,cc4a9b30ca6b9a89,82140044275f02a8,cc4a9b30217e0311,8,0;1;2;3;4;5;6;7,4e;5e;9b;74;ed;34;98;21,0x309b4acc,0x899a6bca,0x44001482,0xa8025f27,0x309b4acc,0x11037e21
6,-10,14,67,1,fault,other_fault,0xe275586c,6c5875e2,a2a6447bda488ad27a02fa21837062a6,0x7b44a6a2,0xd28a48da,0x21fa027a,0xa6627083,ee187760967affe1,ee187760967affe1,824002825a60c8a0,ee18776022024021,8,0;1;2;3;4;5;6;7,6c;58;75;e2;cc;1a;37;41,0x607718ee,0xe1ff7a96,0x82024082,0xa0c8605a,0x607718ee,0x21400222
7,-10,14,67,1,fault,other_fault,0xe13694d8,d89436e1,853c51d4fb7c37f3026279f868b84ac5,0xd4513c85,0xf3377cfb,0xf8796202,0xc54ab868,b0ac3420daec1605,b0ac3420daec1605,683802c16a6073f5,b0ac3420002051d0,8,0;1;2;3;4;5;6;7,d8;94;36;e1;b0;8c;65;f0,0x2034acb0,0x0516ecda,0xc1023868,0xf573606a,0x2034acb0,0xd0512000
8,-10,14,67,1,fault,other_fault,0x0170e709,09e77001,8fb2632c9885b6866f6eceeff12b0760,0x2c63b28f,0x86b68598,0xefce6e6f,0x60072bf1,99e676018fe3b78b,99e676018fe3b78b,90010600192783a6,99e676010f22422c,8,0;1;2;3;4;5;6;7,09;e7;70;01;96;c4;34;2d,0x0176e699,0x8bb7e38f,0x00060190,0xa6832719,0x0176e699,0x2c42220f
9,-10,14,67,1,fault,other_fault,0x9b7e69b4,b4697e9b,8c45b9685816f349728995e124fc7b6a,0x68b9458c,0x49f31658,0xe1958972,0x6a7bfc24,b47d0dd3e02c47d2,b47d0dd3e02c47d2,001473485450db61,b47d0dd300019160,8,0;1;2;3;4;5;6;7,b4;69;7e;9b;b4;7c;9c;b3,0xd30d7db4,0xd2472ce0,0x48731400,0x61db5054,0xd30d7db4,0x60910100
10,-10,14,67,1,fault,other_fault,0x43ab944a,4a94ab43,9a0d59da6d4a3e693af1514c0c9f6946,0xda590d9a,0x693e4a6d,0x4c51f13a,0x46699f0c,469e830370d8a301,469e830370d8a301,0c0a28402c47714a,469e83031a015148,8,0;1;2;3;4;5;6;7,4a;94;ab;43;5c;9f;d2;4b,0x03839e46,0x01a3d870,0x40280a0c,0x4a71472c,0x03839e46,0x4851011a
11,-10,14,67,1,fault,other_fault,0x16898cd7,d78c8916,8c6fa4051c6d52e8298518eff06c4cd3,0x05a46f8c,0xe8526d1c,0xef188529,0xd34c6cf0,c7e0c9d657e09dfa,c7e0c9d657e09dfa,106c40c098055429,c7e0c9d608050005,8,0;1;2;3;4;5;6;7,d7;8c;89;16;cf;e5;c9;d3,0xd6c9e0c7,0xfa9de057,0xc0406c10,0x29540598,0xd6c9e0c7,0x05000508
12,-10,14,67,1,fault,other_fault,0x5ad8b38b,8bb3d85a,6be833b1cb8f697bf25986f421e52118,0xb133e86b,0x7b698fcb,0xf48659f2,0x1821e521,8a36f9420a12fb8a,8a36f9420a12fb8a,01852118e26c0078,8a36f942624802b0,8,0;1;2;3;4;5;6;7,8b;b3;d8;5a;e8;7e;fb;f2,0x42f9368a,0x8afb120a,0x18218501,0x78006ce2,0x42f9368a,0xb0024862
13,-10,14,67,1,fault,other_fault,0x5512e800,00e81255,29cc34185b3d85501c4428d582667c15,0x1834cc29,0x50853d5b,0xd528441c,0x157c6682,02cc164510ec0605,02cc164510ec0605,022404101a643050,02cc164508442010,7,1;2;3;4;5;6;7,e8;12;55;0a;88;36;55,0x4516cc02,0x0506ec10,0x10042402,0x5030641a,0x4516cc02,0x10204408
14,-10,14,67,1,fault,other_fault,0x977047ba,ba477097,6757ce1e56451191fdd566a1981055df,0x1ece5767,0x91114556,0xa166d5fd,0xdf551098,aa4761068b477208,aa4761068b477208,100011914455550e,aa47610665554600,8,0;1;2;3;4;5;6;7,ba;47;70;97;cf;12;27;06,0x066147aa,0x0872478b,0x91110010,0x0e555544,0x066147aa,0x00465565
15,-10,14,67,1,fault,other_fault,0x440d148c,8c140d44,bd3eaf600c489f7ee3b575565145b6f4,0x60af3ebd,0x7e9f480c,0x5675b5e3,0xf4b64551,8c549b303c249b32,8c549b303c249b32,0040967411442542,8c549b30a1342540,8,0;1;2;3;4;5;6;7,8c;14;0d;44;2d;60;be;70,0x309b548c,0x329b243c,0x74964000,0x42254411,0x309b548c,0x402534a1
16,-10,14,67,1,fault,other_fault,0x23072a3d,3d2a0723,4ad5033211c7140076427297d7402a48,0x3203d54a,0x0014c711,0x97724276,0x482a40d7,2c6a07232d681731,2c6a07232d681731,1140000043421200,2c6a072342400212,8,0;1;2;3;4;5;6;7,3d;2a;07;23;6e;2a;05;31,0x23076a2c,0x3117682d,0x00004011,0x00124243,0x23076a2c,0x12024042
17,-10,14,67,1,fault,other_fault,0xcacfa02e,2ea0cfca,d8e6f6b12a22a258a5efdf2d093c3ac7,0xb1f6e6d8,0x58a2222a,0x2ddfefa5,0xc73a3c09,2680ed8a8640a962,2680ed8a8640a962,08202240202692c9,2680ed8a80e6d621,8,0;1;2;3;4;5;6;7,2e;a0;cf;ca;a6;66;3b;ab,0x8aed8026,0x62a94086,0x40222008,0xc9922620,0x8aed8026,0x21d6e680
18,-10,14,67,1,fault,other_fault,0x41034fed,ed4f0341,886cbface792f9df2d3a28bc67cde2d8,0xacbf6c88,0xdff992e7,0xbc283a2d,0xd8e2cd67,8acfe399c039a1f9,8acfe399c039a1f9,6780e0d842de6acc,8acfe399082828ac,8,0;1;2;3;4;5;6;7,ed;4f;03;41;82;e7;cb;35,0x99e3cf8a,0xf9a139c0,0xd8e08067,0xcc6ade42,0x99e3cf8a,0xac282808
19,-10,14,67,1,fault,other_fault,0xb05b3f99,993f5bb0,a770483da799d70947c279d85b712fd3,0x3d4870a7,0x09d799a7,0xd879c247,0xd32f715b,9a2e5cb19a8f4ab1,9a2e5cb19a8f4ab1,0311070107e15e18,9a2e5cb107404818,8,0;1;2;3;4;5;6;7,99;3f;5b;b0;9d;6e;14;a9,0xb15c2e9a,0xb14a8f9a,0x01071103,0x185ee107,0xb15c2e9a,0x18484007
20,-10,14,67,1,fault,other_fault,0x0c7734bb,bb34770c,d93f4f1aed22b3045e755a5df5cb7123,0x1a4f3fd9,0x04b322ed,0x5d5a755e,0x2371cbf5,5e36460c7e2a6e12,5e36460c7e2a6e12,e502310078296206,5e36460c58354a18,8,0;1;2;3;4;5;6;7,bb;34;77;0c;06;03;0c;14,0x0c46365e,0x126e2a7e,0x003102e5,0x06622978,0x0c46365e,0x184a3558
21,-10,14,67,1,fault,other_fault,0x6e3a1fa8,a81f3a6e,d357919ae2f75f2b96c45febdc341ac8,0x9a9157d3,0x2b5ff7e2,0xeb5fc496,0xc81a34dc,682b2066688b6447,682b2066688b6447,c0341a0892e455ab,682b20669244118a,8,0;1;2;3;4;5;6;7,a8;1f;3a;6e;fa;6f;31;ec,0x66202b68,0x47648b68,0x081a34c0,0xab55e492,0x66202b68,0x8a114492
