trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-6,62,1,fault,00000000,5bf0e21465346dc3393d87993f0fbb22,0x14e2f05b,0xc36d3465,0x99873d39,0x22bb0f3f,2504290223042591,2504290221340581,4,4;5;6;7,02;30;20;10
2,2,-6,62,1,fault,00000000,f77f18b2c5f0ac4ba0c51d2fc1ebf195,0xb2187ff7,0x4bacf0c5,0x2f1dc5a0,0x95f1ebc1,c1e0a001e1ee04b9,c1e0a00180c00c0b,4,4;5;6;7,61;2e;08;b2
3,2,-6,62,1,fault,00000000,def1428afe646b0b2a8acfd0008ea36d,0x8a42f1de,0x0b6b64fe,0xd0cf8a2a,0x6da38e00,0004230920000b88,000423092a004b00,3,4;6;7,0a;40;88
4,2,-6,62,1,normal,00000000,229099574d88258861336fc45fb232de,0x57999022,0x8825884d,0xc46f3361,0xde32b25f,4d80208863803c92,4d80208863803c92,0,,
5,2,-6,62,1,fault,00000000,a4f9eeac3451462f6bff1fa43e9214b7,0xaceef9a4,0x2f465134,0xa41fff6b,0xb714923e,3410042724380c24,004142087f57572f,8,0;1;2;3;4;5;6;7,34;51;46;2f;5b;6f;5b;0b
6,2,-6,62,1,fault,00000000,8a18731f032f63fc3e17e909b76258d0,0x1f73188a,0xfc632f03,0x09e9173e,0xd05862b7,032240d08a175011,000d232cbc5a3b2d,8,0;1;2;3;4;5;6;7,03;2f;63;fc;36;4d;6b;3c
7,2,-6,62,1,fault,00000000,1345863be330f3b86baf803edbc89ee6,0x3b864513,0xb8f330e3,0x3e80af6b,0xe69ec8db,c30092a073658620,c30092a063208038,4,4;5;6;7,10;45;06;18
8,2,-6,62,1,normal,00000000,23c96640fec86fdd14e2e62bd5dac752,0x4066c923,0xdd6fc8fe,0x2be6e214,0x52c7dad5,d4c8475015c84649,d4c8475015c84649,0,,
9,2,-6,62,1,normal,00000000,2a06a0e6c6b234eb4387749a4f819e3a,0xe6a0062a,0xeb34b2c6,0x9a748743,0x3a9e814f,4680142a4a84942a,4680142a4a84942a,0,,
10,2,-6,62,1,fault,00000000,9de169e633bb3d5ac16d87166b821d1d,0xe669e19d,0x5a3dbb33,0x16876dc1,0x1d1d826b,23821d1889c80d10,23821d1801290512,4,4;5;6;7,88;e1;08;02
11,2,-6,62,1,normal,00000000,a291ddbfe8bac4b92e1c66316d38e214,0xbfdd91a2,0xb9c4bae8,0x31661c2e,0x14e2386d,6838c0102a18c014,6838c0102a18c014,0,,
12,2,-6,62,1,fault,00000000,bddec0f0a0e6bfd77c0ddf9018d8ad9a,0xf0c0debd,0xd7bfe6a0,0x90df0d7c,0x9aadd818,00c0ad9204d0df90,00c0ad9220049f90,3,4;5;6,24;d4;40
13,2,-6,62,1,fault,00000000,fd0927209f7242568dfbe45de6ed02df,0x202709fd,0x5642729f,0x5de4fb8d,0xdf02ede6,86600256e4726654,866002568d724054,2,4;6,69;26
14,2,-6,62,1,fault,00000000,957c5190a5d8bd2232de27177e2bd00a,0x90517c95,0x22bdd8a5,0x1727de32,0x0ad02b7e,2408900224ac7412,2408900220d82502,4,4;5;6;7,04;74;51;10
15,2,-6,62,1,normal,00000000,61d54af4b61d901ce707b0a51ebe68d9,0xf44ad561,0x1c901db6,0xa5b007e7,0xd968be1e,161c0018c794d870,161c0018c794d870,0,,
16,2,-6,62,1,no_response,00000000,8dbf56da2c160896cd75d86e242a4dfa,0xda56bf8d,0x9608162c,0x6ed875cd,0xfa4d2a24,24020892850b1c96,,0,,
17,2,-6,62,1,fault,00000000,cc98c05e391e249c67a2b1cd0a645ac3,0x5ec098cc,0x9c241e39,0xcdb1a267,0xc35a640a,080400806d82e082,080400802102208c,4,4;5;6;7,4c;80;c0;0e
18,2,-6,62,1,fault,00000000,41b95056d48673248c096e461bf1a868,0x5650b941,0x247386d4,0x466e098c,0x68a8f11b,1080202085b82202,1080202084006204,4,4;5;6;7,01;b8;40;06
19,2,-6,62,1,fault,00000000,46f8f2acf281bf63bedd9bcdeb389d3d,0xacf2f846,0x63bf81f2,0xcd9bddbe,0x3d9d38eb,e2009d21f66199e1,e2009d21b2819b41,4,4;5;6;7,44;e0;02;a0
