trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-6,62,1,fault,e00f5a22,9272ae38f1503403c14c01a9d215d2b7,0x38ae7292,0x033450f1,0xa9014cc1,0xb7d215d2,301f4a21331fd83b,214024006245e69d,8,0;1;2;3;4;5;6;7,11;5f;6e;21;51;5a;3e;a6
2,2,-6,62,1,fault,8b673382,811f56d073a1c66621288a2bcca4df15,0xd0561f81,0x66c6a173,0x2b8a2821,0x15dfa4cc,cbc7f5862b4be5b0,cbc7f586aa47b1a0,4,4;5;6;7,81;0c;54;10
3,2,-6,62,1,normal,2ace3139,56584893db8b76e48e7ba8a2243cf4a6,0x93485856,0xe4768bdb,0xa2a87b8e,0xa6f43c24,2ac6459da2855999,2ac6459da2855999,0,,
4,2,-6,62,1,fault,a3f69274,d10bd4ec98d73da8fe0395f3955a3e2b,0xecd40bd1,0xa83dd798,0xf39503fe,0x2b3e5a95,33a4ae5c7afc071c,33a4ae5c3bf587d4,4,4;5;6;7,41;09;80;c8
5,2,-6,62,1,fault,73677a58,157534aa42bd138147588cad5001fd67,0xaa347515,0x8113bd42,0xad8c5847,0x67fd0150,33666b59242e4a53,33666b59317f7ad9,4,4;5;6;7,15;51;30;8a
6,2,-6,62,1,fault,85de5baf,dad9baee2a648b18d55a4f92854b3a01,0xeebad9da,0x188b642a,0x924f5ad5,0x013a4b85,859e51afd58f603d,859e51af859e50bf,4,4;5;6;7,50;11;30;82
7,2,-6,62,1,fault,cd801940,01898fb1b8c419524551508258f7d36a,0xb18f8901,0x5219c4b8,0x82505145,0x6ad3f758,d5440802cc408ae2,d5440802cdc00942,4,4;5;6;7,01;80;83;a0
8,2,-6,62,1,fault,55c977e9,bdeab8a459098f34f0fcd1c4a3712322,0xa4b8eabd,0x348f0959,0xc4d1fcf0,0x222371a3,54c874c914494649,54c874c905c1f6ed,4,4;5;6;7,11;88;b0;a4
9,2,-6,62,1,normal,70eb36b5,70b2037ce103212213afaa66dc492a17,0x7c03b270,0x222103e1,0x66aaaf13,0x172a49dc,b0ea16b7314a16e7,b0ea16b7314a16e7,0,,
10,2,-6,62,1,fault,1da08cfa,077f9212a4b7cf3922461b4c51e5835f,0x12927f07,0x39cfb7a4,0x4c1b4622,0x5f83e551,1d050fe33e8517e0,1d050fe33da687f2,4,4;5;6;7,03;23;90;12
11,2,-6,62,1,normal,97d31d50,5147fea7f5195b24724093b836509c1b,0xa7fe4751,0x245b19f5,0xb8934072,0x1b9c5036,a3c30550a7d300d3,a3c30550a7d300d3,0,,
12,2,-6,62,1,normal,fa42e5b7,9d9ef150a59ee9c251f2bf61d15d3592,0x50f19e9d,0xc2e99ea5,0x61bff251,0x92355dd1,7b5ec4357b5ecca7,7b5ec4357b5ecca7,0,,
13,2,-6,62,1,fault,2e3884d0,e4ca8fcaa2028b09434ca3c9a18a74dc,0xca8fcae4,0x098b02a2,0xc9a34c43,0xdc748aa1,8e3a84d8ccfa80d9,02008b01a3062801,8,0;1;2;3;4;5;6;7,8c;3a;0f;d9;6f;fc;a8;d8
14,2,-6,62,1,fault,82e54ff8,d2f097b538e569f3157aa0c2bcc9222b,0xb597f0d2,0xf369e538,0xc2a07a15,0x2b22c9bc,ba246fdb1235ed9b,ba246fdb92856f3a,4,4;5;6;7,80;b0;82;a1
15,2,-6,62,1,fault,952e1220,b0b94fb6cdb70babf12da0cc86eb86f5,0xb64fb9b0,0xab0bb7cd,0xcca02df1,0xf586eb86,118d1081648b1498,118d1081540b12a8,4,4;5;6;7,30;80;06;30
16,2,-6,62,1,fault,608e1e6e,15cb1f87635b9237b9045163e58d88c2,0x871fcb15,0x37925b63,0x635104b9,0xc2888de5,01879e6c550717cc,01879e6c418e0e4d,4,4;5;6;7,14;89;19;81
17,2,-6,62,1,fault,014c0af6,d9e9ff3aa401d6e333a2ca4000403979,0x3affe9d9,0xe3d601a4,0x40caa233,0x79394000,014c1a9730ac3b8e,014c1a97214cc8b6,4,4;5;6;7,11;e0;f3;38
18,2,-6,62,1,fault,de977a9b,00be1092fc1dd05a97f9fd3e2afdb151,0x9210be00,0x5ad01dfc,0x3efdf997,0x51b1fd2a,f68aeacb4a8aaa83,f68aeacb4a8eaa81,2,5;7,04;02
19,2,-6,62,1,fault,d9dfa276,3479963ecc65625ef4f22e74b6520f9b,0x3e967934,0x5e6265cc,0x742ef2f4,0x9b0f52b6,5d9fa06c1d9f800c,5d9fa06c1dbf8022,2,5;7,20;2e
20,2,-6,62,1,fault,36dadf27,4150b89535d3c87cc92b65308caaf11c,0x95b85041,0x7cc8d335,0x30652bc9,0x1cf1aa8c,32581f3b76d90f13,32581f3b37d99f17,3,4;6;7,41;90;04
21,2,-6,62,1,fault,4c82b17d,a63e3a19ec7311150909a854c0411c47,0x193a3ea6,0x151173ec,0x54a80909,0x471c41c0,8cc3a178c48b8178,8cc3a1784483b169,4,4;5;6;7,80;08;30;11
22,2,-6,62,1,normal,c670e14d,6e22cb013bb644533532b71a047ec1e7,0x01cb226e,0x5344b63b,0x1ab73235,0xe7c17e04,c646a10ed742a75e,c646a10ed742a75e,0,,
23,2,-6,62,1,fault,2bba0955,51308b8d219a8823626b34be8fe2e432,0x8d8b3051,0x23889a21,0xbe346b62,0x32e4e28f,2a3889774ab089fb,2a3889770bb00977,3,4;6;7,41;80;8c
24,2,-6,62,1,normal,6b23bc07,06dd304a66cbd3ea78c148a84259dbfe,0x4a30dd06,0xead3cb66,0xa848c178,0xfedb5942,296a6fed097aeced,296a6fed097aeced,0,,
25,2,-6,62,1,fault,46cbc120,ab257a2a80d59ce9f8ad78e174340c1f,0x2a7a25ab,0xe99cd580,0xe178adf8,0x1f0c3474,46dfcd294e4fa9eb,46dfcd29c64ed9c1,4,4;5;6;7,88;01;70;2a
26,2,-6,62,1,fault,5ebe9374,239ee0e6a61eb75a70e368e70069511d,0xe6e09e23,0x5ab71ea6,0xe768e370,0x1d516900,5eb6826c5e3693d4,5eb6826c7ebcb336,4,4;5;6;7,20;8a;20;e2
27,2,-6,62,1,fault,1297de59,720174761496582b974e628b2f82b194,0x76740172,0x2b589614,0x8b624e97,0x94b1822f,1615ce593691ce44,1615ce5906919e52,3,4;6;7,30;50;16
28,2,-6,62,1,fault,088bf7c5,f6092a1e8e0422caaae2a0168c46e779,0x1e2a09f6,0xca22048e,0x16a0e2aa,0x79e7468c,848fd58da48bd5c9,848fd58d828bd7c7,3,4;6;7,26;02;0e
29,2,-6,62,1,fault,6d009685,02e1c84244a116300dc609ec696652d7,0x42c8e102,0x3016a144,0xec09c60d,0xd7526669,2d2084956920dea7,0481042029874c87,8,0;1;2;3;4;5;6;7,29;a1;80;b5;40;a7;92;20
30,2,-6,62,1,fault,9eaadf35,5b526aa32ad4ad3ddbae2547fdf1b247,0xa36a525b,0x3dadd42a,0x4725aedb,0x47b2f1fd,b67a7f30967cf830,02040d3886a31a7c,8,0;1;2;3;4;5;6;7,b4;7e;72;08;10;df;e2;4c
31,2,-6,62,1,fault,20b01dd0,aaa9fc90297a9be21ef8c0c4dffe30d0,0x90fca9aa,0xe29b7a29,0xc4c0f81e,0xd030fedf,29ca0d10a8c86d00,29ca0d1028c89d10,3,4;6;7,80;f0;10
32,2,-6,62,1,fault,0154404f,4b1a6cefc5f4dde19c42954ca4b03f6f,0xef6c1a4b,0xe1ddf4c5,0x4c95429c,0x6f3fb0a4,85e45d2e8d06fd2c,4144c080ed067382,7,0;1;2;3;4;6;7,c4;a0;9d;ae;60;8e;ae
33,2,-6,62,1,fault,4005e9e8,cdf9a8113d26b8128eb39d92e35faf81,0x11a8f9cd,0x12b8263d,0x929db38e,0x81af5fe3,610341e801cf51eb,610341e84c2771fa,4,4;5;6;7,4d;e8;20;11
34,2,-6,62,1,fault,dc8bb62b,9cc6422972ad42b54ca366d8b3f213f2,0x2942c69c,0xb542ad72,0xd866a34c,0xf213f2b3,ee2bb49b006ab493,ee2bb49b9c2af4bb,4,4;5;6;7,9c;40;40;28
