trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
2,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
3,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
4,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
5,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
6,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
7,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
8,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
9,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
10,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
11,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
12,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
13,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
14,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
15,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
16,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
17,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
18,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
19,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
20,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
21,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
22,2,-3,63,1,no_response,010716050d031201,,0,
23,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
24,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
25,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
26,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
27,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
28,2,-3,63,1,no_response,010716050d031201,,0,
29,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
30,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
31,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
32,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
33,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
34,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
35,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
36,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
37,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
38,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
39,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
40,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
41,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
42,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
43,2,-3,63,1,no_response,010716050d031201,,0,
44,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
45,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
46,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
47,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
48,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
49,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
50,2,-3,63,1,no_response,010716050d031201,,0,
51,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
52,2,-3,63,1,no_response,010716050d031201,,0,
53,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
54,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
55,2,-3,63,1,no_response,010716050d031201,,0,
56,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
57,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
58,2,-3,63,1,no_response,010716050d031201,,0,
59,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
60,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
61,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
62,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
63,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
64,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
65,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
66,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
67,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
68,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
69,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
70,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
71,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
72,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
73,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
74,2,-3,63,1,no_response,010716050d031201,,0,
75,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
76,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
77,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
78,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
79,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
80,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
81,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
82,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
83,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
84,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
85,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
86,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
87,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
88,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
89,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
90,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
91,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
92,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
93,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
94,2,-3,63,1,no_response,010716050d031201,,0,
95,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
96,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
97,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
98,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
99,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
100,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
101,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
102,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
103,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
104,2,-3,63,1,no_response,010716050d031201,,0,
105,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
106,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
107,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
108,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
109,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
110,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
111,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
112,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
113,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
114,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
115,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
116,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
117,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
118,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
119,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
120,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
121,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
122,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
123,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
124,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
125,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
126,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
127,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
128,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
129,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
130,2,-3,63,1,no_response,010716050d031201,,0,
131,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
132,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
133,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
134,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
135,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
136,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
137,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
138,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
139,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
140,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
141,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
142,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
143,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
144,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
145,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
146,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
147,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
148,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
149,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
150,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
151,2,-3,63,1,no_response,010716050d031201,,0,
152,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
153,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
154,2,-3,63,1,no_response,010716050d031201,,0,
155,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
156,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
157,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
158,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
159,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
160,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
161,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
162,2,-3,63,1,no_response,010716050d031201,,0,
163,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
164,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
165,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
166,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
167,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
168,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
