trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,-40,-40,60,1,normal,00000000,10c6a0669bfcd95a26891e4d58fd680b,0x66a0c610,0x5ad9fc9b,0x4d1e8926,0x0b68fd58,18fc480a12cc380e,18fc480a12cc380e,0,,
2,-40,-40,60,1,normal,00000000,a6b53a497ba3f2aee231da366a4340e8,0x493ab5a6,0xaef2a37b,0x36da31e2,0xe840436a,6a0340a8e211c86e,6a0340a8e211c86e,0,,
3,-40,-40,60,1,normal,00000000,e63049416d059f82b2c996176172f286,0x414930e6,0x829f056d,0x1796c9b2,0x86f27261,61009282e231d603,61009282e231d603,0,,
4,-40,-40,60,1,normal,00000000,3ed49c5356658e9ca947e25d59ceaaa2,0x539cd43e,0x9c8e6556,0x5de247a9,0xa2aace59,50448a8030c58a4f,50448a8030c58a4f,0,,
5,-40,-40,60,1,normal,00000000,3c49bbb18ae72a0cf53b6605de3a2331,0xb1bb493c,0x0c2ae78a,0x05663bf5,0x31233ade,8a222200a8222334,8a222200a8222334,0,,
6,-40,-40,60,1,normal,00000000,e19342c546092517f0e41e8497773960,0xc54293e1,0x17250946,0x841ee4f0,0x60397797,06012100219306c0,06012100219306c0,0,,
7,-40,-40,60,1,normal,00000000,982e027e6ea40dd330ecfa9153b0cd3c,0x7e022e98,0xd30da46e,0x91faec30,0x3ccdb053,42a00d1020a80abd,42a00d1020a80abd,0,,
8,-40,-40,60,1,normal,00000000,55a59aeeb7616323f79b945023d697e2,0xee9aa555,0x236361b7,0x50949bf7,0xe297d623,23400322e30402a2,23400322e30402a2,0,,
9,-40,-40,60,1,normal,00000000,5c08732893e661a430d4bd59e5cbe186,0x2873085c,0xa461e693,0x59bdd430,0x86e1cbe5,81c2618444cc7108,81c2618444cc7108,0,,
10,-40,-40,60,1,normal,00000000,e51d02be3e346b76c298f0fd761a39c6,0xbe021de5,0x766b343e,0xfdf098c2,0xc6391a76,36102946a610604e,36102946a610604e,0,,
11,-40,-40,60,1,normal,00000000,68dd65e999b1dae6a074c79011c7be27,0xe965dd68,0xe6dab199,0x90c774a0,0x27bec711,11819a26a0a1a321,11819a26a0a1a321,0,,
12,-40,-40,60,1,normal,00000000,61da71ea6041dcf86342198e2929e96e,0xea71da61,0xf8dc4160,0x8e194263,0x6ee92929,2001c868200a6868,2001c868200a6868,0,,
13,-40,-40,60,1,normal,00000000,3dac554934051ea42b0bd131aa5a5989,0x4955ac3d,0xa41e0534,0x31d10b2b,0x89595aaa,2000188021011028,2000188021011028,0,,
14,-40,-40,60,1,normal,00000000,96734942488743e873618c3688c3f6ea,0x42497396,0xe8438748,0x368c6173,0xeaf6c388,088342e8d2234860,088342e8d2234860,0,,
15,-40,-40,60,1,normal,00000000,72f90b6f165ab6de675a7db0f5be7b37,0x6f0bf972,0xdeb65a16,0xb07d5a67,0x377bbef5,141a321614ba3697,141a321614ba3697,0,,
16,-40,-40,60,1,normal,00000000,723bc0c6e08a7a9a3d6510ed44e51f20,0xc6c03b72,0x9a7a8ae0,0xed10653d,0x201fe544,40801a005000104c,40801a005000104c,0,,
17,-40,-40,60,1,normal,00000000,971ccd982e8e653a0e5a5c2a49de763f,0x98cd1c97,0x3a658e2e,0x2a5c5a0e,0x3f76de49,088e643a090e4c3a,088e643a090e4c3a,0,,
18,-40,-40,60,1,normal,00000000,15472872670dc60754446a6b19a1e2a7,0x72284715,0x07c60d67,0x6b6a4454,0xa7e2a119,0101c20741414a43,0101c20741414a43,0,,
19,-40,-40,60,1,normal,00000000,abbffb278a3fbaed153ae42cf6f5a8bf,0x27fbbfab,0xedba3f8a,0x2ce43a15,0xbfa8f5f6,8235a8ada3b5e82f,8235a8ada3b5e82f,0,,
20,-40,-40,60,1,normal,00000000,83ec7d97647b141d1287020b9366df38,0x977dec83,0x1d147b64,0x0b028712,0x38df6693,0062141881e35d1a,0062141881e35d1a,0,,
21,-40,-40,60,1,normal,00000000,b4e1411184b35018ebfdd29a0924475a,0x1141e1b4,0x1850b384,0x9ad2fdeb,0x5a472409,0020401820705118,0020401820705118,0,,
22,-40,-40,60,1,normal,00000000,a0597b546ad930340e0aa9a890ec9411,0x547b59a0,0x3430d96a,0xa8a90a0e,0x1194ec90,00c810108a481930,00c810108a481930,0,,
23,-40,-40,60,1,normal,00000000,dc589dfb2b5ca30ee6c5f06699b45318,0xfb9d58dc,0x0ea35c2b,0x66f0c5e6,0x1853b499,091403087e14217c,091403087e14217c,0,,
24,-40,-40,60,1,normal,00000000,d2531003737e20d136060698d9bb33ab,0x031053d2,0xd1207e73,0x98060636,0xab33bbd9,513a2081f0171093,513a2081f0171093,0,,
25,-40,-40,60,1,normal,00000000,6cadd055ffcdefb454033fcf0c1545e7,0x55d0ad6c,0xb4efcdff,0xcf3f0354,0xe745150c,0c0545a41c057f84,0c0545a41c057f84,0,,
26,-40,-40,60,1,normal,00000000,bf16e3f2c77aff795a22728dfb10b900,0xf2e316bf,0x79ff7ac7,0x8d72225a,0x00b910fb,c310b900e330b189,c310b900e330b189,0,,
27,-40,-40,60,1,normal,00000000,862588365c5a1a6b44859b47218b73a0,0x36882586,0x6b1a5a5c,0x479b8544,0xa0738b21,000a122040049265,000a122040049265,0,,
28,-40,-40,60,1,normal,00000000,4d207bdb2fcdcb63c235799ce2c16b16,0xdb7b204d,0x63cbcd2f,0x9c7935c2,0x166bc1e2,22c14b0202255b8a,22c14b0202255b8a,0,,
29,-40,-40,60,1,normal,00000000,46e2e0918ea1ed76eddc195d273321a5,0x91e0e246,0x76eda18e,0x5d19dced,0xa5213327,06212124ce6229c4,06212124ce6229c4,0,,
30,-40,-40,60,1,normal,00000000,8c08e1ecca089f16a7a20a7d1a1d013a,0xece1088c,0x169f08ca,0x7d0aa2a7,0x3a011d1a,0a0801120e080b50,0a0801120e080b50,0,,
31,-40,-40,60,1,normal,00000000,a474dda397c8fc9721dcb37d31b35562,0xa3dd74a4,0x97fcc897,0x7db3dc21,0x6255b331,1180540201ac7416,1180540201ac7416,0,,
32,-40,-40,60,1,normal,00000000,c34562a53f45f09f5095c76c1d6d18db,0xa56245c3,0x9ff0453f,0x6cc79550,0xdb186d1d,1d45109b514582a9,1d45109b514582a9,0,,
33,-40,-40,60,1,normal,00000000,043e65703800fb7a798fc9cb26bd7436,0x70653e04,0x7afb0038,0xcbc98f79,0x3674bd26,200070323c32ec3a,200070323c32ec3a,0,,
34,-40,-40,60,1,normal,00000000,8696566273aa3a99e18df41df257498f,0x62569686,0x993aaa73,0x1df48de1,0x8f4957f2,72020889631a241b,72020889631a241b,0,,
35,-40,-40,60,1,normal,00000000,767eb307b08a19b8ceb4218393e714c0,0x07b37e76,0xb8198ab0,0x8321b4ce,0xc014e793,90821080d4d23083,90821080d4d23083,0,,
36,-40,-40,60,1,normal,00000000,e1358bab307d367e5dcd8762749ca7cb,0xab8b35e1,0x7e367d30,0x6287cd5d,0xcba79c74,301c264a315c06cb,301c264a315c06cb,0,,
