global_trial,setting_trial,width,offset,ext_offset,repeat,status,model_match,randomness_word_hex,randomness_bytes_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_hw_output,expected_sw_output,glitched_output,expected_fault_model_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex,expected_z0,expected_z1,glitched_z0,glitched_z1,model_fault_z0,model_fault_z1
1,1,-12,12,64,1,normal,normal_no_fault,0xfd2e9629,29962efd,140fbeaf399159ce9cdcfd688f42aee0,0xafbe0f14,0xce599139,0x68fddc9c,0xe0ae428f,2096263d2108653d,2096263d2108653d,2096263d2108653d,2096263d3d9a92d5,0,,,0x3d269620,0x3d650821,0x3d269620,0x3d650821,0x3d269620,0xd5929a3d
2,2,-12,12,64,1,normal,normal_no_fault,0xcf774542,424577cf,72fc403a144a2fe231b552f4ca60c710,0x3a40fc72,0xe22f4a14,0xf452b531,0x10c760ca,420570cf2091750f,420570cf2091750f,420570cf2091750f,420570cf72f137ff,0,,,0xcf700542,0x0f759120,0xcf700542,0x0f759120,0xcf700542,0xff37f172
3,3,-12,12,64,1,normal,normal_no_fault,0x17544c16,164c5417,38b8f9ed5e6d5b072145906f16c9f9a3,0xedf9b838,0x075b6d5e,0x6f904521,0xa3f9c916,00050d1426812ddc,00050d1426812ddc,00050d1426812ddc,00050d14364cc47a,0,,,0x140d0500,0xdc2d8126,0x140d0500,0xdc2d8126,0x140d0500,0x7ac44c36
4,4,-12,12,64,1,normal,normal_no_fault,0x583811cc,cc113858,81cd785db0f1a71e0809135baee11492,0x5d78cd81,0x1ea7f1b0,0x5b130908,0x9214e1ae,6cf03c4a4cd83b0b,6cf03c4a4cd83b0b,6cf03c4a4cd83b0b,6cf03c4acc182801,0,,,0x4a3cf06c,0x0b3bd84c,0x4a3cf06c,0x0b3bd84c,0x4a3cf06c,0x012818cc
5,5,-12,12,64,1,normal,normal_no_fault,0xa79ffcbe,befc9fa7,c9595b05ed35ab635347288cfcda0c35,0x055b59c9,0x63ab35ed,0x8c284753,0x350cdafc,52ec978676e0b7a6,52ec978676e0b7a6,52ec978676e0b7a6,52ec9786ffbd97a3,0,,,0x8697ec52,0xa6b7e076,0x8697ec52,0xa6b7e076,0x8697ec52,0xa397bdff
6,6,-12,12,64,1,normal,normal_no_fault,0x6fea0c1a,1a0cea6f,3dbedf0992f16aef19825de75ec229ee,0x09dfbe3d,0xef6af192,0xe75d8219,0xee29c25e,08ccc2810f8cf681,08ccc2810f8cf681,08ccc2810f8cf681,08ccc281038eb76e,0,,,0x81c2cc08,0x81f68c0f,0x81c2cc08,0x81f68c0f,0x81c2cc08,0x6eb78e03
7,7,-12,12,64,1,normal,normal_no_fault,0x536a3f7f,7f3f6a53,5aad4da9612f361f089d949af5a5bde9,0xa94dad5a,0x1f362f61,0x9a949d08,0xe9bda5f5,1e1a5e5a271a7768,1e1a5e5a271a7768,1e1a5e5a271a7768,1e1a5e5a77b26edb,0,,,0x5a5e1a1e,0x68771a27,0x5a5e1a1e,0x68771a27,0x5a5e1a1e,0xdb6eb277
8,8,-12,12,64,1,normal,normal_no_fault,0xe37f05d9,d9057fe3,3851afbeec3313731ea1aec0cb610d4c,0xbeaf5138,0x731333ec,0xc0aea11e,0x4c0d61cb,11247ea3c564de2f,11247ea3c564de2f,11247ea3c564de2f,11247ea3c104d163,0,,,0xa37e2411,0x2fde64c5,0xa37e2411,0x2fde64c5,0xa37e2411,0x63d104c1
9,9,-12,12,64,1,normal,normal_no_fault,0x6e916cf3,f36c916e,94ec6fb510d60976de54d37d6d410ee5,0xb56fec94,0x7609d610,0x7dd354de,0xe50e416d,f32c990a733cdd8a,f32c990a733cdd8a,f32c990a733cdd8a,f32c990a6728d25b,0,,,0x0a992cf3,0x8add3c73,0x0a992cf3,0x8add3c73,0x0a992cf3,0x5bd22867
10,10,-12,12,64,1,normal,normal_no_fault,0x555b1009,09105b55,59db6518addb24dba8f282ed9da0f8da,0x1865db59,0xdb24dbad,0xed82f2a8,0xdaf8a09d,84907b8fb0903b8c,84907b8fb0903b8c,84907b8fb0903b8c,84907b8f01c25b5d,0,,,0x8f7b9084,0x8c3b90b0,0x8f7b9084,0x8c3b90b0,0x8f7b9084,0x5d5bc201
