trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
2,2,-4,63,1,normal,010607050d020301,010607050d020301,0,
3,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
4,2,-4,63,1,normal,010607050d020301,010607050d020301,0,
5,2,-4,63,1,normal,010607050d020301,010607050d020301,0,
6,2,-4,63,1,normal,010607050d020301,010607050d020301,0,
7,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
8,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
9,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
10,2,-4,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
1,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
2,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
3,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
4,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
5,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
6,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
7,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
8,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
9,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
10,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
1,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
2,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
3,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
4,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
5,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
6,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
7,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
8,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
9,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
10,2,-2,63,1,normal,010607050d020301,010607050d020301,0,
1,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
2,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
3,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
4,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
5,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
6,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
7,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
8,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
9,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
10,2,-1,63,1,normal,010607050d020301,010607050d020301,0,
1,2,0,63,1,normal,010607050d020301,010607050d020301,0,
2,2,0,63,1,normal,010607050d020301,010607050d020301,0,
3,2,0,63,1,normal,010607050d020301,010607050d020301,0,
4,2,0,63,1,normal,010607050d020301,010607050d020301,0,
5,2,0,63,1,normal,010607050d020301,010607050d020301,0,
6,2,0,63,1,normal,010607050d020301,010607050d020301,0,
7,2,0,63,1,normal,010607050d020301,010607050d020301,0,
8,2,0,63,1,normal,010607050d020301,010607050d020301,0,
9,2,0,63,1,normal,010607050d020301,010607050d020301,0,
10,2,0,63,1,normal,010607050d020301,010607050d020301,0,
1,2,1,63,1,normal,010607050d020301,010607050d020301,0,
2,2,1,63,1,normal,010607050d020301,010607050d020301,0,
3,2,1,63,1,normal,010607050d020301,010607050d020301,0,
4,2,1,63,1,normal,010607050d020301,010607050d020301,0,
5,2,1,63,1,normal,010607050d020301,010607050d020301,0,
6,2,1,63,1,normal,010607050d020301,010607050d020301,0,
7,2,1,63,1,normal,010607050d020301,010607050d020301,0,
8,2,1,63,1,normal,010607050d020301,010607050d020301,0,
9,2,1,63,1,normal,010607050d020301,010607050d020301,0,
10,2,1,63,1,normal,010607050d020301,010607050d020301,0,
1,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-4,63,1,normal,010607050d020301,010607050d020301,0,
1,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-3,63,1,normal,010607050d020301,010607050d020301,0,
1,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-2,63,1,normal,010607050d020301,010607050d020301,0,
1,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-1,63,1,normal,010607050d020301,010607050d020301,0,
1,3,0,63,1,normal,010607050d020301,010607050d020301,0,
2,3,0,63,1,normal,010607050d020301,010607050d020301,0,
3,3,0,63,1,normal,010607050d020301,010607050d020301,0,
4,3,0,63,1,normal,010607050d020301,010607050d020301,0,
5,3,0,63,1,normal,010607050d020301,010607050d020301,0,
6,3,0,63,1,normal,010607050d020301,010607050d020301,0,
7,3,0,63,1,normal,010607050d020301,010607050d020301,0,
8,3,0,63,1,normal,010607050d020301,010607050d020301,0,
9,3,0,63,1,normal,010607050d020301,010607050d020301,0,
10,3,0,63,1,normal,010607050d020301,010607050d020301,0,
1,3,1,63,1,normal,010607050d020301,010607050d020301,0,
2,3,1,63,1,normal,010607050d020301,010607050d020301,0,
3,3,1,63,1,normal,010607050d020301,010607050d020301,0,
4,3,1,63,1,normal,010607050d020301,010607050d020301,0,
5,3,1,63,1,normal,010607050d020301,010607050d020301,0,
6,3,1,63,1,normal,010607050d020301,010607050d020301,0,
7,3,1,63,1,normal,010607050d020301,010607050d020301,0,
8,3,1,63,1,normal,010607050d020301,010607050d020301,0,
9,3,1,63,1,normal,010607050d020301,010607050d020301,0,
